nt n policy kernel bw
7 256 range Set 0.2312
7 256 range Copy 0.3683
7 256 range Scale 0.4163
7 256 range Add 0.5241
7 256 range Triad 0.5106
7 256 2d-mdrange Set 0.2451
7 256 2d-mdrange Copy 0.3693
7 256 2d-mdrange Scale 0.3740
7 256 2d-mdrange Add 0.5393
7 256 2d-mdrange Triad 0.5360
7 512 3d-mdrange Set 0.4949
7 512 3d-mdrange Copy 0.7025
7 512 3d-mdrange Scale 0.7061
7 512 3d-mdrange Add 1.0128
7 512 3d-mdrange Triad 1.0376
7 256 4d-mdrange Set 0.1843
7 256 4d-mdrange Copy 0.3470
7 256 4d-mdrange Scale 0.3500
7 256 4d-mdrange Add 0.4867
7 256 4d-mdrange Triad 0.4879
7 1024 5d-mdrange Set 0.6935
7 1024 5d-mdrange Copy 1.1997
7 1024 5d-mdrange Scale 1.1944
7 1024 5d-mdrange Add 1.7646
7 1024 5d-mdrange Triad 1.7583
7 4096 range Set 3.9786
7 4096 range Copy 5.3749
7 4096 range Scale 5.3394
7 4096 range Add 7.9380
7 4096 range Triad 7.8236
7 4096 2d-mdrange Set 3.9075
7 4096 2d-mdrange Copy 5.2920
7 4096 2d-mdrange Scale 5.2707
7 4096 2d-mdrange Add 7.8367
7 4096 2d-mdrange Triad 7.8430
7 4096 3d-mdrange Set 4.0424
7 4096 3d-mdrange Copy 5.2203
7 4096 3d-mdrange Scale 5.1381
7 4096 3d-mdrange Add 7.5764
7 4096 3d-mdrange Triad 7.5127
7 4096 4d-mdrange Set 2.9784
7 4096 4d-mdrange Copy 4.9439
7 4096 4d-mdrange Scale 4.9815
7 4096 4d-mdrange Add 7.1881
7 4096 4d-mdrange Triad 7.2464
7 7776 5d-mdrange Set 5.3065
7 7776 5d-mdrange Copy 8.9592
7 7776 5d-mdrange Scale 9.0183
7 7776 5d-mdrange Add 13.2668
7 7776 5d-mdrange Triad 13.1825
7 20736 range Set 19.9961
7 20736 range Copy 26.4490
7 20736 range Scale 26.7260
7 20736 range Add 39.1707
7 20736 range Triad 39.0172
7 20736 2d-mdrange Set 19.5025
7 20736 2d-mdrange Copy 26.2170
7 20736 2d-mdrange Scale 26.3210
7 20736 2d-mdrange Add 38.5936
7 20736 2d-mdrange Triad 39.2016
7 32768 3d-mdrange Set 31.0009
7 32768 3d-mdrange Copy 40.8165
7 32768 3d-mdrange Scale 40.9760
7 32768 3d-mdrange Add 57.4206
7 32768 3d-mdrange Triad 58.7503
7 20736 4d-mdrange Set 14.7824
7 20736 4d-mdrange Copy 24.4745
7 20736 4d-mdrange Scale 24.8596
7 20736 4d-mdrange Add 35.5550
7 20736 4d-mdrange Triad 36.1228
7 32768 5d-mdrange Set 21.8217
7 32768 5d-mdrange Copy 37.2443
7 32768 5d-mdrange Scale 37.1651
7 32768 5d-mdrange Add 55.3942
7 32768 5d-mdrange Triad 54.6969
7 65536 range Set 61.2701
7 65536 range Copy 82.0867
7 65536 range Scale 81.7030
7 65536 range Add 118.0386
7 65536 range Triad 118.4742
7 65536 2d-mdrange Set 48.4062
7 65536 2d-mdrange Copy 81.0650
7 65536 2d-mdrange Scale 82.7997
7 65536 2d-mdrange Add 117.1506
7 65536 2d-mdrange Triad 118.2160
7 64000 3d-mdrange Set 57.4120
7 64000 3d-mdrange Copy 77.9003
7 64000 3d-mdrange Scale 78.4374
7 64000 3d-mdrange Add 109.7378
7 64000 3d-mdrange Triad 110.6867
7 65536 4d-mdrange Set 47.0974
7 65536 4d-mdrange Copy 76.2823
7 65536 4d-mdrange Scale 76.1714
7 65536 4d-mdrange Add 107.7452
7 65536 4d-mdrange Triad 109.4699
7 100000 5d-mdrange Set 56.1877
7 100000 5d-mdrange Copy 93.6056
7 100000 5d-mdrange Scale 94.5459
7 100000 5d-mdrange Add 133.5931
7 100000 5d-mdrange Triad 131.9769
7 331776 range Set 232.9888
7 331776 range Copy 326.2301
7 331776 range Scale 324.8327
7 331776 range Add 420.9242
7 331776 range Triad 428.4205
7 331776 2d-mdrange Set 161.9209
7 331776 2d-mdrange Copy 292.8781
7 331776 2d-mdrange Scale 295.4866
7 331776 2d-mdrange Add 416.9568
7 331776 2d-mdrange Triad 423.4087
7 262144 3d-mdrange Set 175.7439
7 262144 3d-mdrange Copy 260.1764
7 262144 3d-mdrange Scale 259.8540
7 262144 3d-mdrange Add 354.3484
7 262144 3d-mdrange Triad 353.1550
7 331776 4d-mdrange Set 178.7466
7 331776 4d-mdrange Copy 273.5169
7 331776 4d-mdrange Scale 275.0902
7 331776 4d-mdrange Add 375.4007
7 331776 4d-mdrange Triad 383.9259
7 248832 5d-mdrange Set 126.4712
7 248832 5d-mdrange Copy 205.2434
7 248832 5d-mdrange Scale 206.8536
7 248832 5d-mdrange Add 288.9196
7 248832 5d-mdrange Triad 291.1877
7 1048576 range Set 531.5638
7 1048576 range Copy 676.2825
7 1048576 range Scale 662.6334
7 1048576 range Add 768.3283
7 1048576 range Triad 781.0137
7 1048576 2d-mdrange Set 262.9575
7 1048576 2d-mdrange Copy 509.8993
7 1048576 2d-mdrange Scale 509.2647
7 1048576 2d-mdrange Add 700.2177
7 1048576 2d-mdrange Triad 687.7599
7 2097152 3d-mdrange Set 617.2179
7 2097152 3d-mdrange Copy 836.6020
7 2097152 3d-mdrange Scale 845.2637
7 2097152 3d-mdrange Add 930.4307
7 2097152 3d-mdrange Triad 921.0659
7 1048576 4d-mdrange Set 388.5234
7 1048576 4d-mdrange Copy 591.4760
7 1048576 4d-mdrange Scale 581.2103
7 1048576 4d-mdrange Add 693.0825
7 1048576 4d-mdrange Triad 697.3074
7 1048576 5d-mdrange Set 305.4513
7 1048576 5d-mdrange Copy 511.7657
7 1048576 5d-mdrange Scale 507.1097
7 1048576 5d-mdrange Add 700.2177
7 1048576 5d-mdrange Triad 696.9212
7 5308416 range Set 1077.6868
7 5308416 range Copy 1151.1413
7 5308416 range Scale 1155.2278
7 5308416 range Add 1173.9954
7 5308416 range Triad 1172.2671
7 5308416 2d-mdrange Set 356.7784
7 5308416 2d-mdrange Copy 701.1628
7 5308416 2d-mdrange Scale 699.5977
7 5308416 2d-mdrange Add 993.0161
7 5308416 2d-mdrange Triad 1002.8020
7 5832000 3d-mdrange Set 777.6518
7 5832000 3d-mdrange Copy 1066.6667
7 5832000 3d-mdrange Scale 1072.4408
7 5832000 3d-mdrange Add 1041.5061
7 5832000 3d-mdrange Triad 1036.6387
7 5308416 4d-mdrange Set 682.9631
7 5308416 4d-mdrange Copy 975.7109
7 5308416 4d-mdrange Scale 980.0115
7 5308416 4d-mdrange Add 943.1455
7 5308416 4d-mdrange Triad 928.7551
7 3200000 5d-mdrange Set 291.2400
7 3200000 5d-mdrange Copy 493.7748
7 3200000 5d-mdrange Scale 491.6884
7 3200000 5d-mdrange Add 671.2055
7 3200000 5d-mdrange Triad 660.0490
7 16777216 range Set 1286.6950
7 16777216 range Copy 1289.7366
7 16777216 range Scale 1290.1705
7 16777216 range Add 1208.2471
7 16777216 range Triad 1213.8674
7 16777216 2d-mdrange Set 379.6137
7 16777216 2d-mdrange Copy 748.8700
7 16777216 2d-mdrange Scale 747.9290
7 16777216 2d-mdrange Add 942.8117
7 16777216 2d-mdrange Triad 943.0325
7 16777216 3d-mdrange Set 931.8864
7 16777216 3d-mdrange Copy 1069.9073
7 16777216 3d-mdrange Scale 1061.7693
7 16777216 3d-mdrange Add 885.4386
7 16777216 3d-mdrange Triad 904.9789
7 16777216 4d-mdrange Set 779.9593
7 16777216 4d-mdrange Copy 1068.3318
7 16777216 4d-mdrange Scale 1066.0365
7 16777216 4d-mdrange Add 1011.0284
7 16777216 4d-mdrange Triad 1027.1555
7 17210368 5d-mdrange Set 450.3401
7 17210368 5d-mdrange Copy 758.4312
7 17210368 5d-mdrange Scale 756.7616
7 17210368 5d-mdrange Add 992.0807
7 17210368 5d-mdrange Triad 979.7964
7 40960000 range Set 1360.4810
7 40960000 range Copy 1333.2221
7 40960000 range Scale 1332.1083
7 40960000 range Add 1235.8769
7 40960000 range Triad 1241.8691
7 40960000 2d-mdrange Set 385.5580
7 40960000 2d-mdrange Copy 761.5462
7 40960000 2d-mdrange Scale 760.2537
7 40960000 2d-mdrange Add 943.6737
7 40960000 2d-mdrange Triad 1083.8189
7 46656000 3d-mdrange Set 955.6348
7 46656000 3d-mdrange Copy 1169.5358
7 46656000 3d-mdrange Scale 1168.8729
7 46656000 3d-mdrange Add 945.2651
7 46656000 3d-mdrange Triad 957.1746
7 40960000 4d-mdrange Set 811.4085
7 40960000 4d-mdrange Copy 1134.9660
7 40960000 4d-mdrange Scale 1111.1168
7 40960000 4d-mdrange Add 956.2097
7 40960000 4d-mdrange Triad 955.7254
7 33554432 5d-mdrange Set 522.3862
7 33554432 5d-mdrange Copy 847.1389
7 33554432 5d-mdrange Scale 844.5868
7 33554432 5d-mdrange Add 875.8195
7 33554432 5d-mdrange Triad 905.8157
7 84934656 range Set 1388.6238
7 84934656 range Copy 1348.6388
7 84934656 range Scale 1358.2944
7 84934656 range Add 1247.4255
7 84934656 range Triad 1242.0328
7 84934656 2d-mdrange Set 388.1425
7 84934656 2d-mdrange Copy 766.6145
7 84934656 2d-mdrange Scale 765.6366
7 84934656 2d-mdrange Add 1009.3605
7 84934656 2d-mdrange Triad 1027.5446
7 85184000 3d-mdrange Set 970.4965
7 85184000 3d-mdrange Copy 1199.8623
7 85184000 3d-mdrange Scale 1190.6301
7 85184000 3d-mdrange Add 951.5829
7 85184000 3d-mdrange Triad 952.6005
7 84934656 4d-mdrange Set 821.8257
7 84934656 4d-mdrange Copy 1119.0890
7 84934656 4d-mdrange Scale 1114.7295
7 84934656 4d-mdrange Add 1047.0534
7 84934656 4d-mdrange Triad 1056.2512
7 102400000 5d-mdrange Set 443.2454
7 102400000 5d-mdrange Copy 747.6772
7 102400000 5d-mdrange Scale 744.0269
7 102400000 5d-mdrange Add 947.9009
7 102400000 5d-mdrange Triad 954.9307
7 157351936 range Set 1400.9113
7 157351936 range Copy 1352.3566
7 157351936 range Scale 1356.9867
7 157351936 range Add 1249.3789
7 157351936 range Triad 1246.6972
7 157351936 2d-mdrange Set 389.4231
7 157351936 2d-mdrange Copy 768.8958
7 157351936 2d-mdrange Scale 767.5150
7 157351936 2d-mdrange Add 1085.3473
7 157351936 2d-mdrange Triad 1021.8153
7 157464000 3d-mdrange Set 983.5983
7 157464000 3d-mdrange Copy 1173.4161
7 157464000 3d-mdrange Scale 1169.3347
7 157464000 3d-mdrange Add 952.4541
7 157464000 3d-mdrange Triad 947.8230
7 157351936 4d-mdrange Set 826.6203
7 157351936 4d-mdrange Copy 1127.6728
7 157351936 4d-mdrange Scale 1121.9729
7 157351936 4d-mdrange Add 965.4140
7 157351936 4d-mdrange Triad 951.6993
7 164916224 5d-mdrange Set 486.6066
7 164916224 5d-mdrange Copy 816.7680
7 164916224 5d-mdrange Scale 811.9008
7 164916224 5d-mdrange Add 1051.2183
7 164916224 5d-mdrange Triad 1034.8280
7 268435456 range Set 1407.3803
7 268435456 range Copy 1354.2056
7 268435456 range Scale 1356.1379
7 268435456 range Add 1251.8050
7 268435456 range Triad 1248.1872
7 268435456 2d-mdrange Set 390.0425
7 268435456 2d-mdrange Copy 770.7299
7 268435456 2d-mdrange Scale 769.6200
7 268435456 2d-mdrange Add 997.7081
7 268435456 2d-mdrange Triad 988.9930
7 262144000 3d-mdrange Set 998.5815
7 262144000 3d-mdrange Copy 978.2998
7 262144000 3d-mdrange Scale 976.8912
7 262144000 3d-mdrange Add 778.9707
7 262144000 3d-mdrange Triad 786.3335
7 268435456 4d-mdrange Set 829.3018
7 268435456 4d-mdrange Copy 1174.7337
7 268435456 4d-mdrange Scale 1169.4680
7 268435456 4d-mdrange Add 1112.1766
7 268435456 4d-mdrange Triad 1111.5075
7 254803968 5d-mdrange Set 532.1893
7 254803968 5d-mdrange Copy 850.6692
7 254803968 5d-mdrange Scale 848.6819
7 254803968 5d-mdrange Add 857.4276
7 254803968 5d-mdrange Triad 859.3231
7 429981696 range Set 1410.7908
7 429981696 range Copy 1355.3360
7 429981696 range Scale 1359.3530
7 429981696 range Add 1247.1565
7 429981696 range Triad 1252.8134
7 429981696 2d-mdrange Set 390.2488
7 429981696 2d-mdrange Copy 770.7725
7 429981696 2d-mdrange Scale 769.5165
7 429981696 2d-mdrange Add 1004.1969
7 429981696 2d-mdrange Triad 1003.6196
7 438976000 3d-mdrange Set 989.3771
7 438976000 3d-mdrange Copy 1208.8078
7 438976000 3d-mdrange Scale 1207.5399
7 438976000 3d-mdrange Add 978.0015
7 438976000 3d-mdrange Triad 971.1861
7 429981696 4d-mdrange Set 829.6068
7 429981696 4d-mdrange Copy 1116.3191
7 429981696 4d-mdrange Scale 1113.5892
7 429981696 4d-mdrange Add 953.0097
7 429981696 4d-mdrange Triad 950.6962
7 380204032 5d-mdrange Set 432.6298
7 380204032 5d-mdrange Copy 729.1879
7 380204032 5d-mdrange Scale 725.0664
7 380204032 5d-mdrange Add 940.4914
7 380204032 5d-mdrange Triad 937.4264
