nt n policy kernel bw
64 4 range Set 0.1960
64 4 range Copy 0.3901
64 4 range Scale 0.4000
64 4 range Add 0.6113
64 4 range Triad 0.6212
64 4 mdrange Set 0.2163
64 4 mdrange Copy 0.4334
64 4 mdrange Scale 0.4146
64 4 mdrange Add 0.6529
64 4 mdrange Triad 0.6289
64 8 range Set 2.5421
64 8 range Copy 4.9573
64 8 range Scale 4.9577
64 8 range Add 7.4642
64 8 range Triad 7.4984
64 8 mdrange Set 2.4094
64 8 mdrange Copy 4.6745
64 8 mdrange Scale 4.5574
64 8 mdrange Add 7.1132
64 8 mdrange Triad 7.1807
64 12 range Set 18.0706
64 12 range Copy 35.4083
64 12 range Scale 34.2744
64 12 range Add 52.1660
64 12 range Triad 50.3709
64 12 mdrange Set 17.0667
64 12 mdrange Copy 34.2744
64 12 mdrange Scale 32.9470
64 12 mdrange Add 48.1300
64 12 mdrange Triad 47.3966
64 16 range Set 51.1002
64 16 range Copy 103.9223
64 16 range Scale 109.6837
64 16 range Add 148.9455
64 16 range Triad 148.3834
64 16 mdrange Set 44.8493
64 16 mdrange Copy 74.1567
64 16 mdrange Scale 78.2519
64 16 mdrange Add 116.8547
64 16 mdrange Triad 112.8310
64 24 range Set 182.9227
64 24 range Copy 340.9387
64 24 range Scale 346.5023
64 24 range Add 502.3738
64 24 range Triad 478.5231
64 24 mdrange Set 109.2716
64 24 mdrange Copy 129.9490
64 24 mdrange Scale 153.1568
64 24 mdrange Add 220.9998
64 24 mdrange Triad 220.5102
64 32 range Set 648.7709
64 32 range Copy 1145.2025
64 32 range Scale 1077.5347
64 32 range Add 1554.4054
64 32 range Triad 1418.5921
64 32 mdrange Set 75.6958
64 32 mdrange Copy 99.8882
64 32 mdrange Scale 114.4812
64 32 mdrange Add 160.5578
64 32 mdrange Triad 159.5399
64 64 range Set 457.4113
64 64 range Copy 403.4743
64 64 range Scale 254.7336
64 64 range Add 311.6296
64 64 range Triad 270.1212
64 64 mdrange Set 52.4465
64 64 mdrange Copy 58.3060
64 64 mdrange Scale 55.7523
64 64 mdrange Add 53.2799
64 64 mdrange Triad 50.5391
64 96 range Set 111.8088
64 96 range Copy 127.7167
