nt n policy kernel bw
64 256 range Set 0.5172
64 256 range Copy 1.0422
64 256 range Scale 0.9776
64 256 range Add 1.5634
64 256 range Triad 1.4559
64 256 2d-mdrange Set 0.4959
64 256 2d-mdrange Copy 0.9706
64 256 2d-mdrange Scale 1.0530
64 256 2d-mdrange Add 1.6472
64 256 2d-mdrange Triad 1.6297
64 512 3d-mdrange Set 1.1222
64 512 3d-mdrange Copy 2.2022
64 512 3d-mdrange Scale 2.0898
64 512 3d-mdrange Add 3.1917
64 512 3d-mdrange Triad 3.2856
64 256 4d-mdrange Set 0.5095
64 256 4d-mdrange Copy 1.0422
64 256 4d-mdrange Scale 1.0317
64 256 4d-mdrange Add 1.5437
64 256 4d-mdrange Triad 1.5246
64 256 4d-mdrange-tiling Set 0.5535
64 256 4d-mdrange-tiling Copy 1.1703
64 256 4d-mdrange-tiling Scale 1.1441
64 256 4d-mdrange-tiling Add 1.7258
64 256 4d-mdrange-tiling Triad 1.7114
64 256 4d-openmp Set 0.5902
64 256 4d-openmp Copy 1.1253
64 256 4d-openmp Scale 1.0894
64 256 4d-openmp Add 1.7307
64 256 4d-openmp Triad 1.6042
64 256 4d-openmp-simd Set 0.6059
64 256 4d-openmp-simd Copy 1.2154
64 256 4d-openmp-simd Scale 1.2012
64 256 4d-openmp-simd Add 1.8789
64 256 4d-openmp-simd Triad 1.7258
64 1024 5d-mdrange Set 2.2505
64 1024 5d-mdrange Copy 4.0766
64 1024 5d-mdrange Scale 4.0858
64 1024 5d-mdrange Add 6.3834
64 1024 5d-mdrange Triad 6.0532
64 4096 range Set 5.8724
64 4096 range Copy 11.6426
64 4096 range Scale 11.2993
64 4096 range Add 17.2161
64 4096 range Triad 16.8907
64 4096 2d-mdrange Set 8.4454
64 4096 2d-mdrange Copy 17.2463
64 4096 2d-mdrange Scale 16.8041
64 4096 2d-mdrange Add 25.5335
64 4096 2d-mdrange Triad 25.6668
64 4096 3d-mdrange Set 7.9534
64 4096 3d-mdrange Copy 15.9068
64 4096 3d-mdrange Scale 15.7538
64 4096 3d-mdrange Add 23.8024
64 4096 3d-mdrange Triad 22.1405
64 4096 4d-mdrange Set 8.0709
64 4096 4d-mdrange Copy 15.1704
64 4096 4d-mdrange Scale 16.5914
64 4096 4d-mdrange Add 23.5233
64 4096 4d-mdrange Triad 23.6308
64 4096 4d-mdrange-tiling Set 8.8086
64 4096 4d-mdrange-tiling Copy 18.7782
64 4096 4d-mdrange-tiling Scale 17.2463
64 4096 4d-mdrange-tiling Add 25.2774
64 4096 4d-mdrange-tiling Triad 26.6407
64 4096 4d-openmp Set 9.6947
64 4096 4d-openmp Copy 18.7782
64 4096 4d-openmp Scale 18.7246
64 4096 4d-openmp Add 28.0869
64 4096 4d-openmp Triad 29.8796
64 4096 4d-openmp-simd Set 8.8802
64 4096 4d-openmp-simd Copy 17.6647
64 4096 4d-openmp-simd Scale 18.2044
64 4096 4d-openmp-simd Add 26.2144
64 4096 4d-openmp-simd Triad 25.2062
64 7776 5d-mdrange Set 14.7762
64 7776 5d-mdrange Copy 26.9299
64 7776 5d-mdrange Scale 25.1854
64 7776 5d-mdrange Add 36.8095
64 7776 5d-mdrange Triad 38.0865
64 20736 range Set 36.1412
64 20736 range Copy 71.0441
64 20736 range Scale 71.5034
64 20736 range Add 101.5641
64 20736 range Triad 91.1473
64 20736 2d-mdrange Set 39.3100
64 20736 2d-mdrange Copy 80.3332
64 20736 2d-mdrange Scale 76.0954
64 20736 2d-mdrange Add 128.2639
64 20736 2d-mdrange Triad 112.8490
64 32768 3d-mdrange Set 46.4794
64 32768 3d-mdrange Copy 81.1591
64 32768 3d-mdrange Scale 93.4560
64 32768 3d-mdrange Add 108.4734
64 32768 3d-mdrange Triad 116.8547
64 20736 4d-mdrange Set 39.2170
64 20736 4d-mdrange Copy 78.0649
64 20736 4d-mdrange Scale 75.0794
64 20736 4d-mdrange Add 117.3736
64 20736 4d-mdrange Triad 110.1027
64 20736 4d-mdrange-tiling Set 40.2641
64 20736 4d-mdrange-tiling Copy 81.3176
64 20736 4d-mdrange-tiling Scale 80.9210
64 20736 4d-mdrange-tiling Add 115.2000
64 20736 4d-mdrange-tiling Triad 112.3395
64 20736 4d-openmp Set 48.9345
64 20736 4d-openmp Copy 89.1871
64 20736 4d-openmp Scale 89.6692
64 20736 4d-openmp Add 125.9909
64 20736 4d-openmp Triad 130.6205
64 20736 4d-openmp-simd Set 46.4672
64 20736 4d-openmp-simd Copy 85.2895
64 20736 4d-openmp-simd Scale 85.5093
64 20736 4d-openmp-simd Add 125.9909
64 20736 4d-openmp-simd Triad 131.3098
64 32768 5d-mdrange Set 60.5413
64 32768 5d-mdrange Copy 98.1813
64 32768 5d-mdrange Scale 90.5506
64 32768 5d-mdrange Add 125.8291
64 32768 5d-mdrange Triad 131.0938
64 65536 range Set 92.9589
64 65536 range Copy 160.5783
64 65536 range Scale 154.8857
64 65536 range Add 206.6838
64 65536 range Triad 196.6080
64 65536 2d-mdrange Set 106.9976
64 65536 2d-mdrange Copy 214.4327
64 65536 2d-mdrange Scale 183.3175
64 65536 2d-mdrange Add 318.3935
64 65536 2d-mdrange Triad 280.8686
64 64000 3d-mdrange Set 84.0722
64 64000 3d-mdrange Copy 157.0552
64 64000 3d-mdrange Scale 162.7981
64 64000 3d-mdrange Add 217.5637
64 64000 3d-mdrange Triad 201.5748
64 65536 4d-mdrange Set 77.2147
64 65536 4d-mdrange Copy 123.5072
64 65536 4d-mdrange Scale 126.9462
64 65536 4d-mdrange Add 167.5042
64 65536 4d-mdrange Triad 175.7390
64 65536 4d-mdrange-tiling Set 108.9996
64 65536 4d-mdrange-tiling Copy 185.2608
64 65536 4d-mdrange-tiling Scale 173.0323
64 65536 4d-mdrange-tiling Add 248.8709
64 65536 4d-mdrange-tiling Triad 250.8555
64 65536 4d-openmp Set 161.8173
64 65536 4d-openmp Copy 228.4479
64 65536 4d-openmp Scale 227.4568
64 65536 4d-openmp Add 320.9927
64 65536 4d-openmp Triad 326.3203
64 65536 4d-openmp-simd Set 156.9725
64 65536 4d-openmp-simd Copy 257.0039
64 65536 4d-openmp-simd Scale 253.2792
64 65536 4d-openmp-simd Add 369.2169
64 65536 4d-openmp-simd Triad 373.6019
64 100000 5d-mdrange Set 97.0874
64 100000 5d-mdrange Copy 116.0261
64 100000 5d-mdrange Scale 112.0448
64 100000 5d-mdrange Add 152.1877
64 100000 5d-mdrange Triad 155.3398
64 331776 range Set 338.9793
64 331776 range Copy 724.2041
64 331776 range Scale 437.6270
64 331776 range Add 609.2291
64 331776 range Triad 564.7251
64 331776 2d-mdrange Set 454.4877
64 331776 2d-mdrange Copy 886.2130
64 331776 2d-mdrange Scale 641.1130
64 331776 2d-mdrange Add 969.8689
64 331776 2d-mdrange Triad 1023.4735
64 262144 3d-mdrange Set 227.2104
64 262144 3d-mdrange Copy 349.8168
64 262144 3d-mdrange Scale 348.0750
64 262144 3d-mdrange Add 407.5041
64 262144 3d-mdrange Triad 431.2170
64 331776 4d-mdrange Set 143.2384
64 331776 4d-mdrange Copy 167.4051
64 331776 4d-mdrange Scale 198.9661
64 331776 4d-mdrange Add 260.6424
64 331776 4d-mdrange Triad 265.0674
64 331776 4d-mdrange-tiling Set 311.5268
64 331776 4d-mdrange-tiling Copy 533.5628
64 331776 4d-mdrange-tiling Scale 454.4877
64 331776 4d-mdrange-tiling Add 672.5189
64 331776 4d-mdrange-tiling Triad 606.9073
64 331776 4d-openmp Set 526.6286
64 331776 4d-openmp Copy 736.2574
64 331776 4d-openmp Scale 832.1706
64 331776 4d-openmp Add 1200.9991
64 331776 4d-openmp Triad 1132.6634
64 331776 4d-openmp-simd Set 548.3901
64 331776 4d-openmp-simd Copy 767.1121
64 331776 4d-openmp-simd Scale 833.3463
64 331776 4d-openmp-simd Add 1219.3911
64 331776 4d-openmp-simd Triad 1142.4138
64 248832 5d-mdrange Set 145.6222
64 248832 5d-mdrange Copy 158.2397
64 248832 5d-mdrange Scale 160.3428
64 248832 5d-mdrange Add 217.2415
64 248832 5d-mdrange Triad 220.8568
64 1048576 range Set 203.9089
64 1048576 range Copy 315.8956
64 1048576 range Scale 289.4620
64 1048576 range Add 333.4105
64 1048576 range Triad 322.8499
64 1048576 2d-mdrange Set 646.2718
64 1048576 2d-mdrange Copy 1032.4441
64 1048576 2d-mdrange Scale 755.0842
64 1048576 2d-mdrange Add 909.1699
64 1048576 2d-mdrange Triad 803.5065
64 2097152 3d-mdrange Set 254.8180
64 2097152 3d-mdrange Copy 378.8037
64 2097152 3d-mdrange Scale 358.6063
64 2097152 3d-mdrange Add 468.5981
64 2097152 3d-mdrange Triad 396.9373
64 1048576 4d-mdrange Set 154.6572
64 1048576 4d-mdrange Copy 110.5153
64 1048576 4d-mdrange Scale 166.2263
64 1048576 4d-mdrange Add 223.1428
64 1048576 4d-mdrange Triad 161.8391
64 1048576 4d-mdrange-tiling Set 657.4144
64 1048576 4d-mdrange-tiling Copy 765.3839
64 1048576 4d-mdrange-tiling Scale 648.7960
64 1048576 4d-mdrange-tiling Add 853.3681
64 1048576 4d-mdrange-tiling Triad 773.6189
64 1048576 4d-openmp Set 1121.4717
64 1048576 4d-openmp Copy 1492.6349
64 1048576 4d-openmp Scale 1433.9501
64 1048576 4d-openmp Add 1897.8751
64 1048576 4d-openmp Triad 1624.6497
64 1048576 4d-openmp-simd Set 1194.9584
64 1048576 4d-openmp-simd Copy 1515.5570
64 1048576 4d-openmp-simd Scale 1486.0244
64 1048576 4d-openmp-simd Add 1916.6660
64 1048576 4d-openmp-simd Triad 1626.7501
64 1048576 5d-mdrange Set 132.6052
64 1048576 5d-mdrange Copy 231.9538
64 1048576 5d-mdrange Scale 226.6303
64 1048576 5d-mdrange Add 280.5867
64 1048576 5d-mdrange Triad 253.9719
64 5308416 range Set 247.1776
64 5308416 range Copy 259.6136
64 5308416 range Scale 102.4315
64 5308416 range Add 133.2287
64 5308416 range Triad 173.6417
64 5308416 2d-mdrange Set 611.4806
64 5308416 2d-mdrange Copy 664.1279
64 5308416 2d-mdrange Scale 628.8708
64 5308416 2d-mdrange Add 668.2541
64 5308416 2d-mdrange Triad 670.9641
64 5832000 3d-mdrange Set 305.4823
64 5832000 3d-mdrange Copy 673.3488
64 5832000 3d-mdrange Scale 367.9945
64 5832000 3d-mdrange Add 532.8278
64 5832000 3d-mdrange Triad 497.5419
64 5308416 4d-mdrange Set 319.8829
64 5308416 4d-mdrange Copy 623.1038
64 5308416 4d-mdrange Scale 494.7294
64 5308416 4d-mdrange Add 682.2828
64 5308416 4d-mdrange Triad 475.0810
64 5308416 4d-mdrange-tiling Set 911.3161
64 5308416 4d-mdrange-tiling Copy 992.3548
64 5308416 4d-mdrange-tiling Scale 941.4172
64 5308416 4d-mdrange-tiling Add 996.3477
64 5308416 4d-mdrange-tiling Triad 980.0907
64 5308416 4d-openmp Set 1062.4801
64 5308416 4d-openmp Copy 1101.6168
64 5308416 4d-openmp Scale 1086.9549
64 5308416 4d-openmp Add 1107.9397
64 5308416 4d-openmp Triad 1105.0663
64 5308416 4d-openmp-simd Set 1154.6310
64 5308416 4d-openmp-simd Copy 1208.8622
64 5308416 4d-openmp-simd Scale 1188.8950
64 5308416 4d-openmp-simd Add 1205.2028
64 5308416 4d-openmp-simd Triad 1217.5382
64 3200000 5d-mdrange Set 211.7645
64 3200000 5d-mdrange Copy 236.2070
64 3200000 5d-mdrange Scale 226.9212
64 3200000 5d-mdrange Add 307.0919
64 3200000 5d-mdrange Triad 286.6228
64 16777216 range Set 44.8890
64 16777216 range Copy 53.2732
64 16777216 range Scale 52.1999
64 16777216 range Add 53.9748
64 16777216 range Triad 54.7705
64 16777216 2d-mdrange Set 65.0226
64 16777216 2d-mdrange Copy 75.0618
64 16777216 2d-mdrange Scale 65.6966
64 16777216 2d-mdrange Add 73.8927
64 16777216 2d-mdrange Triad 73.3000
64 16777216 3d-mdrange Set 44.1504
64 16777216 3d-mdrange Copy 47.9977
64 16777216 3d-mdrange Scale 43.2391
64 16777216 3d-mdrange Add 45.4377
64 16777216 3d-mdrange Triad 44.4752
64 16777216 4d-mdrange Set 67.4560
64 16777216 4d-mdrange Copy 69.1039
64 16777216 4d-mdrange Scale 54.9607
64 16777216 4d-mdrange Add 55.4513
64 16777216 4d-mdrange Triad 52.0458
64 16777216 4d-mdrange-tiling Set 69.3094
64 16777216 4d-mdrange-tiling Copy 69.4344
64 16777216 4d-mdrange-tiling Scale 72.5939
64 16777216 4d-mdrange-tiling Add 69.0383
64 16777216 4d-mdrange-tiling Triad 67.6747
64 16777216 4d-openmp Set 462.8692
64 16777216 4d-openmp Copy 388.9997
64 16777216 4d-openmp Scale 259.6203
64 16777216 4d-openmp Add 305.0835
64 16777216 4d-openmp Triad 261.9441
64 16777216 4d-openmp-simd Set 507.9041
64 16777216 4d-openmp-simd Copy 429.6707
64 16777216 4d-openmp-simd Scale 253.4744
64 16777216 4d-openmp-simd Add 324.7405
64 16777216 4d-openmp-simd Triad 252.8622
64 17210368 5d-mdrange Set 128.8220
64 17210368 5d-mdrange Copy 89.7714
64 17210368 5d-mdrange Scale 74.2478
64 17210368 5d-mdrange Add 68.8447
64 17210368 5d-mdrange Triad 71.0514
64 40960000 range Set 55.0294
64 40960000 range Copy 66.2736
64 40960000 range Scale 77.5015
64 40960000 range Add 81.7345
64 40960000 range Triad 80.5916
64 40960000 2d-mdrange Set 121.3074
64 40960000 2d-mdrange Copy 114.7291
64 40960000 2d-mdrange Scale 88.5198
64 40960000 2d-mdrange Add 109.2936
64 40960000 2d-mdrange Triad 99.7370
64 46656000 3d-mdrange Set 44.4811
64 46656000 3d-mdrange Copy 56.6987
64 46656000 3d-mdrange Scale 52.8310
64 46656000 3d-mdrange Add 59.4190
64 46656000 3d-mdrange Triad 54.4606
64 40960000 4d-mdrange Set 49.0230
64 40960000 4d-mdrange Copy 59.6473
64 40960000 4d-mdrange Scale 49.3342
64 40960000 4d-mdrange Add 52.4202
64 40960000 4d-mdrange Triad 48.1964
64 40960000 4d-mdrange-tiling Set 138.3142
64 40960000 4d-mdrange-tiling Copy 127.1874
64 40960000 4d-mdrange-tiling Scale 103.3422
64 40960000 4d-mdrange-tiling Add 122.2065
64 40960000 4d-mdrange-tiling Triad 110.9546
64 40960000 4d-openmp Set 178.4554
64 40960000 4d-openmp Copy 163.9347
64 40960000 4d-openmp Scale 136.8754
64 40960000 4d-openmp Add 160.4702
64 40960000 4d-openmp Triad 145.8444
64 40960000 4d-openmp-simd Set 178.3700
64 40960000 4d-openmp-simd Copy 164.1408
64 40960000 4d-openmp-simd Scale 136.7346
64 40960000 4d-openmp-simd Add 159.9056
64 40960000 4d-openmp-simd Triad 145.3179
64 33554432 5d-mdrange Set 58.8120
64 33554432 5d-mdrange Copy 58.4329
64 33554432 5d-mdrange Scale 54.2632
64 33554432 5d-mdrange Add 54.2113
64 33554432 5d-mdrange Triad 50.5226
64 84934656 range Set 81.5126
64 84934656 range Copy 100.7728
64 84934656 range Scale 97.6201
64 84934656 range Add 110.8998
64 84934656 range Triad 108.3310
64 84934656 2d-mdrange Set 94.4446
64 84934656 2d-mdrange Copy 110.4194
64 84934656 2d-mdrange Scale 98.1220
64 84934656 2d-mdrange Add 114.8152
64 84934656 2d-mdrange Triad 109.1547
64 85184000 3d-mdrange Set 41.6988
64 85184000 3d-mdrange Copy 53.1670
64 85184000 3d-mdrange Scale 49.4380
64 85184000 3d-mdrange Add 54.4872
64 85184000 3d-mdrange Triad 53.5489
64 84934656 4d-mdrange Set 41.6803
64 84934656 4d-mdrange Copy 50.6609
64 84934656 4d-mdrange Scale 46.3482
64 84934656 4d-mdrange Add 51.3108
64 84934656 4d-mdrange Triad 49.2603
64 84934656 4d-mdrange-tiling Set 86.2451
64 84934656 4d-mdrange-tiling Copy 107.4737
64 84934656 4d-mdrange-tiling Scale 109.2302
64 84934656 4d-mdrange-tiling Add 117.5031
64 84934656 4d-mdrange-tiling Triad 113.7488
64 84934656 4d-openmp Set 111.9895
64 84934656 4d-openmp Copy 127.8073
64 84934656 4d-openmp Scale 117.8141
64 84934656 4d-openmp Add 136.8956
