nt n policy kernel bw
64 256 range Set 0.1921
64 256 range Copy 0.3765
64 256 range Scale 0.3821
64 256 range Add 0.5869
64 256 range Triad 0.5673
64 256 2d-mdrange Set 0.1489
64 256 2d-mdrange Copy 0.3105
64 256 2d-mdrange Scale 0.3003
64 256 2d-mdrange Add 0.4640
64 256 2d-mdrange Triad 0.4662
64 512 3d-mdrange Set 0.3977
64 512 3d-mdrange Copy 0.8000
64 512 3d-mdrange Scale 0.8063
64 512 3d-mdrange Add 1.1838
64 512 3d-mdrange Triad 1.1725
64 256 4d-mdrange Set 0.2163
64 256 4d-mdrange Copy 0.4218
64 256 4d-mdrange Scale 0.4307
64 256 4d-mdrange Add 0.6219
64 256 4d-mdrange Triad 0.6263
64 256 4d-mdrange-tiling Set 0.1990
64 256 4d-mdrange-tiling Copy 0.3905
64 256 4d-mdrange-tiling Scale 0.4104
64 256 4d-mdrange-tiling Add 0.6150
64 256 4d-mdrange-tiling Triad 0.5868
64 256 4d-openmp Set 0.2006
64 256 4d-openmp Copy 0.4245
64 256 4d-openmp Scale 0.3996
64 256 4d-openmp Add 0.6175
64 256 4d-openmp Triad 0.6536
64 256 4d-openmp-simd Set 0.2200
64 256 4d-openmp-simd Copy 0.4240
64 256 4d-openmp-simd Scale 0.4443
64 256 4d-openmp-simd Add 0.6664
64 256 4d-openmp-simd Triad 0.6522
64 1024 5d-mdrange Set 0.6155
64 1024 5d-mdrange Copy 1.1950
64 1024 5d-mdrange Scale 1.1728
64 1024 5d-mdrange Add 1.7592
64 1024 5d-mdrange Triad 1.7668
64 4096 range Set 3.2540
64 4096 range Copy 6.8196
64 4096 range Scale 6.8624
64 4096 range Add 10.1764
64 4096 range Triad 10.0208
64 4096 2d-mdrange Set 2.3439
64 4096 2d-mdrange Copy 4.7387
64 4096 2d-mdrange Scale 4.7080
64 4096 2d-mdrange Add 7.2442
64 4096 2d-mdrange Triad 7.1912
64 4096 3d-mdrange Set 3.3781
64 4096 3d-mdrange Copy 6.8913
64 4096 3d-mdrange Scale 6.5799
64 4096 3d-mdrange Add 10.1764
64 4096 3d-mdrange Triad 10.2614
64 4096 4d-mdrange Set 3.5084
64 4096 4d-mdrange Copy 6.6332
64 4096 4d-mdrange Scale 6.6534
64 4096 4d-mdrange Add 10.2507
64 4096 4d-mdrange Triad 10.2614
64 4096 4d-mdrange-tiling Set 3.0682
64 4096 4d-mdrange-tiling Copy 6.3938
64 4096 4d-mdrange-tiling Scale 6.2955
64 4096 4d-mdrange-tiling Add 9.9902
64 4096 4d-mdrange-tiling Triad 9.2740
64 4096 4d-openmp Set 2.5924
64 4096 4d-openmp Copy 5.0412
64 4096 4d-openmp Scale 4.9913
64 4096 4d-openmp Add 7.3746
64 4096 4d-openmp Triad 7.7101
64 4096 4d-openmp-simd Set 3.6168
64 4096 4d-openmp-simd Copy 7.0393
64 4096 4d-openmp-simd Scale 7.4144
64 4096 4d-openmp-simd Add 11.0953
64 4096 4d-openmp-simd Triad 10.7908
64 7776 5d-mdrange Set 5.9133
64 7776 5d-mdrange Copy 12.8795
64 7776 5d-mdrange Scale 11.7484
64 7776 5d-mdrange Add 17.5729
64 7776 5d-mdrange Triad 17.9463
64 20736 range Set 18.2094
64 20736 range Copy 36.5392
64 20736 range Scale 36.1018
64 20736 range Add 52.0569
64 20736 range Triad 52.8306
64 20736 2d-mdrange Set 17.0142
64 20736 2d-mdrange Copy 35.7903
64 20736 2d-mdrange Scale 34.7409
64 20736 2d-mdrange Add 49.9161
64 20736 2d-mdrange Triad 47.8063
64 32768 3d-mdrange Set 21.9367
64 32768 3d-mdrange Copy 44.3560
64 32768 3d-mdrange Scale 42.1792
64 32768 3d-mdrange Add 62.8141
64 32768 3d-mdrange Triad 62.9146
64 20736 4d-mdrange Set 17.7420
64 20736 4d-mdrange Copy 33.6487
64 20736 4d-mdrange Scale 32.4952
64 20736 4d-mdrange Add 48.4580
64 20736 4d-mdrange Triad 47.0382
64 20736 4d-mdrange-tiling Set 15.8441
64 20736 4d-mdrange-tiling Copy 32.1177
64 20736 4d-mdrange-tiling Scale 31.2113
64 20736 4d-mdrange-tiling Add 47.5778
64 20736 4d-mdrange-tiling Triad 46.3806
64 20736 4d-openmp Set 17.8374
64 20736 4d-openmp Copy 35.2953
64 20736 4d-openmp Scale 33.8202
64 20736 4d-openmp Add 52.8867
64 20736 4d-openmp Triad 52.5516
64 20736 4d-openmp-simd Set 13.0313
64 20736 4d-openmp-simd Copy 24.8150
64 20736 4d-openmp-simd Scale 25.0965
64 20736 4d-openmp-simd Add 37.9606
64 20736 4d-openmp-simd Triad 37.0561
64 32768 5d-mdrange Set 24.3176
64 32768 5d-mdrange Copy 46.0306
64 32768 5d-mdrange Scale 46.8114
64 32768 5d-mdrange Add 68.9248
64 32768 5d-mdrange Triad 69.1673
64 65536 range Set 52.2199
64 65536 range Copy 107.6567
64 65536 range Scale 115.1016
64 65536 range Add 157.9181
64 65536 range Triad 155.5751
64 65536 2d-mdrange Set 50.2673
64 65536 2d-mdrange Copy 102.7009
64 65536 2d-mdrange Scale 100.1505
64 65536 2d-mdrange Add 149.9394
64 65536 2d-mdrange Triad 141.5719
64 64000 3d-mdrange Set 37.2635
64 64000 3d-mdrange Copy 67.1475
64 64000 3d-mdrange Scale 68.0851
