nt n policy kernel bw
48 256 range Set 0.1496
48 256 range Copy 0.3035
48 256 range Scale 0.2964
48 256 range Add 0.4452
48 256 range Triad 0.4530
48 256 2d-mdrange Set 0.1873
48 256 2d-mdrange Copy 0.3739
48 256 2d-mdrange Scale 0.3636
48 256 2d-mdrange Add 0.5440
48 256 2d-mdrange Triad 0.5434
48 512 3d-mdrange Set 0.3984
48 512 3d-mdrange Copy 0.7625
48 512 3d-mdrange Scale 0.7830
48 512 3d-mdrange Add 1.2060
48 512 3d-mdrange Triad 1.1385
48 256 4d-mdrange Set 0.2147
48 256 4d-mdrange Copy 0.4083
48 256 4d-mdrange Scale 0.4127
48 256 4d-mdrange Add 0.6297
48 256 4d-mdrange Triad 0.6437
48 1024 5d-mdrange Set 0.9110
48 1024 5d-mdrange Copy 1.7939
48 1024 5d-mdrange Scale 1.7722
48 1024 5d-mdrange Add 2.6592
48 1024 5d-mdrange Triad 2.7114
48 4096 range Set 3.5563
48 4096 range Copy 6.8862
48 4096 range Scale 7.0040
48 4096 range Add 10.7143
48 4096 range Triad 10.5014
48 4096 2d-mdrange Set 3.8262
48 4096 2d-mdrange Copy 7.6436
48 4096 2d-mdrange Scale 7.4532
48 4096 2d-mdrange Add 11.4707
48 4096 2d-mdrange Triad 11.2130
48 4096 3d-mdrange Set 3.4525
48 4096 3d-mdrange Copy 7.2160
48 4096 3d-mdrange Scale 6.6812
48 4096 3d-mdrange Add 10.3762
48 4096 3d-mdrange Triad 10.6183
48 4096 4d-mdrange Set 3.4845
48 4096 4d-mdrange Copy 6.9519
48 4096 4d-mdrange Scale 6.6853
48 4096 4d-mdrange Add 10.3587
48 4096 4d-mdrange Triad 10.8455
48 7776 5d-mdrange Set 6.7194
48 7776 5d-mdrange Copy 13.3408
48 7776 5d-mdrange Scale 13.6676
48 7776 5d-mdrange Add 20.0757
48 7776 5d-mdrange Triad 19.9705
48 20736 range Set 18.6664
48 20736 range Copy 36.3073
48 20736 range Scale 36.4910
48 20736 range Add 54.0998
48 20736 range Triad 56.3542
48 20736 2d-mdrange Set 18.6077
48 20736 2d-mdrange Copy 36.8313
