nt n policy kernel bw
48 256 range Set 0.5593
48 256 range Copy 1.1467
48 256 range Scale 1.1855
48 256 range Add 1.6241
48 256 range Triad 1.7167
48 256 2d-mdrange Set 0.8281
48 256 2d-mdrange Copy 1.6926
48 256 2d-mdrange Scale 1.6705
48 256 2d-mdrange Add 2.4449
48 256 2d-mdrange Triad 2.5006
48 512 3d-mdrange Set 1.6746
48 512 3d-mdrange Copy 3.3837
48 512 3d-mdrange Scale 3.3328
48 512 3d-mdrange Add 4.8588
48 512 3d-mdrange Triad 4.7371
48 256 4d-mdrange Set 0.7932
48 256 4d-mdrange Copy 1.6933
48 256 4d-mdrange Scale 1.6496
48 256 4d-mdrange Add 2.4323
48 256 4d-mdrange Triad 2.4965
48 256 4d-mdrange-tiling Set 0.7868
48 256 4d-mdrange-tiling Copy 1.5994
48 256 4d-mdrange-tiling Scale 1.5103
48 256 4d-mdrange-tiling Add 2.3531
48 256 4d-mdrange-tiling Triad 2.2705
48 256 4d-openmp Set 0.9301
48 256 4d-openmp Copy 1.7785
48 256 4d-openmp Scale 1.7886
48 256 4d-openmp Add 2.6279
48 256 4d-openmp Triad 2.6877
48 256 4d-openmp-simd Set 0.8756
48 256 4d-openmp-simd Copy 1.7625
48 256 4d-openmp-simd Scale 1.6718
48 256 4d-openmp-simd Add 2.5772
48 256 4d-openmp-simd Triad 2.6690
48 1024 5d-mdrange Set 3.3274
48 1024 5d-mdrange Copy 6.3504
48 1024 5d-mdrange Scale 6.6955
48 1024 5d-mdrange Add 9.3766
48 1024 5d-mdrange Triad 9.4487
48 4096 range Set 8.4475
48 4096 range Copy 19.1682
48 4096 range Scale 13.7652
48 4096 range Add 20.4332
48 4096 range Triad 20.0990
48 4096 2d-mdrange Set 11.8811
48 4096 2d-mdrange Copy 25.5601
48 4096 2d-mdrange Scale 24.5361
48 4096 2d-mdrange Add 37.7512
48 4096 2d-mdrange Triad 38.3102
48 4096 3d-mdrange Set 11.8125
48 4096 3d-mdrange Copy 23.6081
48 4096 3d-mdrange Scale 23.8140
48 4096 3d-mdrange Add 33.8862
48 4096 3d-mdrange Triad 33.9917
48 4096 4d-mdrange Set 12.1859
48 4096 4d-mdrange Copy 23.4812
48 4096 4d-mdrange Scale 22.9629
48 4096 4d-mdrange Add 33.5967
48 4096 4d-mdrange Triad 32.5834
48 4096 4d-mdrange-tiling Set 13.6476
48 4096 4d-mdrange-tiling Copy 25.5700
48 4096 4d-mdrange-tiling Scale 24.6654
48 4096 4d-mdrange-tiling Add 37.7222
48 4096 4d-mdrange-tiling Triad 33.0434
48 4096 4d-openmp Set 15.6635
48 4096 4d-openmp Copy 29.6007
48 4096 4d-openmp Scale 29.8706
48 4096 4d-openmp Add 44.3210
48 4096 4d-openmp Triad 41.1314
48 4096 4d-openmp-simd Set 14.2842
48 4096 4d-openmp-simd Copy 27.1034
48 4096 4d-openmp-simd Scale 26.7931
48 4096 4d-openmp-simd Add 40.4044
48 4096 4d-openmp-simd Triad 38.2804
48 7776 5d-mdrange Set 21.1376
48 7776 5d-mdrange Copy 35.3756
48 7776 5d-mdrange Scale 34.7337
48 7776 5d-mdrange Add 50.5208
48 7776 5d-mdrange Triad 48.9057
48 20736 range Set 41.0411
48 20736 range Copy 83.6551
48 20736 range Scale 84.0578
48 20736 range Add 127.7372
48 20736 range Triad 92.0237
48 20736 2d-mdrange Set 59.4581
48 20736 2d-mdrange Copy 123.3368
48 20736 2d-mdrange Scale 116.3310
48 20736 2d-mdrange Add 175.0489
48 20736 2d-mdrange Triad 170.9011
48 32768 3d-mdrange Set 68.1247
48 32768 3d-mdrange Copy 132.2957
48 32768 3d-mdrange Scale 137.1046
48 32768 3d-mdrange Add 174.0664
48 32768 3d-mdrange Triad 156.7222
48 20736 4d-mdrange Set 56.2523
48 20736 4d-mdrange Copy 92.3653
48 20736 4d-mdrange Scale 93.6956
48 20736 4d-mdrange Add 121.4111
48 20736 4d-mdrange Triad 129.4315
48 20736 4d-mdrange-tiling Set 55.8734
48 20736 4d-mdrange-tiling Copy 112.1244
48 20736 4d-mdrange-tiling Scale 109.4609
48 20736 4d-mdrange-tiling Add 153.0803
48 20736 4d-mdrange-tiling Triad 154.7463
48 20736 4d-openmp Set 66.4349
48 20736 4d-openmp Copy 124.5405
48 20736 4d-openmp Scale 122.6529
48 20736 4d-openmp Add 180.5092
48 20736 4d-openmp Triad 168.6997
48 20736 4d-openmp-simd Set 68.4922
48 20736 4d-openmp-simd Copy 127.3612
48 20736 4d-openmp-simd Scale 107.1974
48 20736 4d-openmp-simd Add 143.5845
48 20736 4d-openmp-simd Triad 162.5822
48 32768 5d-mdrange Set 59.1480
48 32768 5d-mdrange Copy 93.0248
48 32768 5d-mdrange Scale 93.7903
48 32768 5d-mdrange Add 123.3039
48 32768 5d-mdrange Triad 110.6560
48 65536 range Set 102.2402
48 65536 range Copy 182.8061
48 65536 range Scale 173.9798
48 65536 range Add 277.7440
48 65536 range Triad 234.2663
48 65536 2d-mdrange Set 181.9181
