nt n policy kernel bw
48 256 range Set 0.1533
48 256 range Copy 0.3133
48 256 range Scale 0.3026
48 256 range Add 0.4561
48 256 range Triad 0.4640
48 256 2d-mdrange Set 0.1885
48 256 2d-mdrange Copy 0.3726
48 256 2d-mdrange Scale 0.3721
48 256 2d-mdrange Add 0.5732
48 256 2d-mdrange Triad 0.5451
48 512 3d-mdrange Set 0.4011
48 512 3d-mdrange Copy 0.7759
48 512 3d-mdrange Scale 0.7779
48 512 3d-mdrange Add 1.1766
48 512 3d-mdrange Triad 1.2045
48 256 4d-mdrange Set 0.2056
48 256 4d-mdrange Copy 0.4301
48 256 4d-mdrange Scale 0.4174
48 256 4d-mdrange Add 0.6338
48 256 4d-mdrange Triad 0.6252
48 256 4d-mdrange-tiling Set 0.2210
48 256 4d-mdrange-tiling Copy 0.4631
48 256 4d-mdrange-tiling Scale 0.4428
48 256 4d-mdrange-tiling Add 0.6917
48 256 4d-mdrange-tiling Triad 0.6814
48 256 4d-openmp Set 0.2364
48 256 4d-openmp Copy 0.4727
48 256 4d-openmp Scale 0.4715
48 256 4d-openmp Add 0.6741
48 256 4d-openmp Triad 0.7010
48 256 4d-openmp-simd Set 0.2388
48 256 4d-openmp-simd Copy 0.4631
48 256 4d-openmp-simd Scale 0.4779
48 256 4d-openmp-simd Add 0.7023
48 256 4d-openmp-simd Triad 0.6979
48 1024 5d-mdrange Set 0.9096
48 1024 5d-mdrange Copy 1.8082
48 1024 5d-mdrange Scale 1.8323
48 1024 5d-mdrange Add 2.6474
48 1024 5d-mdrange Triad 2.7836
48 4096 range Set 3.6437
48 4096 range Copy 7.0363
48 4096 range Scale 7.0720
48 4096 range Add 10.3489
48 4096 range Triad 10.3131
48 4096 2d-mdrange Set 3.6547
48 4096 2d-mdrange Copy 7.3802
48 4096 2d-mdrange Scale 7.4304
48 4096 2d-mdrange Add 11.0034
48 4096 2d-mdrange Triad 10.9555
48 4096 3d-mdrange Set 3.6409
48 4096 3d-mdrange Copy 7.3927
48 4096 3d-mdrange Scale 7.2049
48 4096 3d-mdrange Add 10.8671
48 4096 3d-mdrange Triad 11.3058
48 4096 4d-mdrange Set 3.5985
48 4096 4d-mdrange Copy 7.1026
48 4096 4d-mdrange Scale 6.8040
48 4096 4d-mdrange Add 10.6563
48 4096 4d-mdrange Triad 10.6563
48 4096 4d-mdrange-tiling Set 3.6649
48 4096 4d-mdrange-tiling Copy 7.1695
48 4096 4d-mdrange-tiling Scale 7.2697
48 4096 4d-mdrange-tiling Add 10.7730
48 4096 4d-mdrange-tiling Triad 11.2206
48 4096 4d-openmp Set 3.9956
48 4096 4d-openmp Copy 7.8458
48 4096 4d-openmp Scale 7.9159
48 4096 4d-openmp Add 11.3883
48 4096 4d-openmp Triad 11.6391
48 4096 4d-openmp-simd Set 3.9738
48 4096 4d-openmp-simd Copy 7.7797
48 4096 4d-openmp-simd Scale 7.7493
48 4096 4d-openmp-simd Add 11.3436
48 4096 4d-openmp-simd Triad 11.4440
48 7776 5d-mdrange Set 6.7632
48 7776 5d-mdrange Copy 13.6571
48 7776 5d-mdrange Scale 13.7128
48 7776 5d-mdrange Add 20.3272
48 7776 5d-mdrange Triad 20.0671
48 20736 range Set 18.8167
48 20736 range Copy 37.3832
48 20736 range Scale 37.4888
48 20736 range Add 56.5078
48 20736 range Triad 55.7919
48 20736 2d-mdrange Set 18.9003
48 20736 2d-mdrange Copy 36.7823
48 20736 2d-mdrange Scale 36.0548
48 20736 2d-mdrange Add 54.0410
48 20736 2d-mdrange Triad 55.5491
48 32768 3d-mdrange Set 27.9740
48 32768 3d-mdrange Copy 56.5148
48 32768 3d-mdrange Scale 52.8569
48 32768 3d-mdrange Add 77.6186
48 32768 3d-mdrange Triad 78.6196
48 20736 4d-mdrange Set 17.9397
48 20736 4d-mdrange Copy 35.3179
48 20736 4d-mdrange Scale 32.2991
48 20736 4d-mdrange Add 50.1576
48 20736 4d-mdrange Triad 47.4327
48 20736 4d-mdrange-tiling Set 17.3960
48 20736 4d-mdrange-tiling Copy 36.0274
48 20736 4d-mdrange-tiling Scale 36.6806
48 20736 4d-mdrange-tiling Add 53.5468
48 20736 4d-mdrange-tiling Triad 52.2208
48 20736 4d-openmp Set 19.5784
48 20736 4d-openmp Copy 38.5159
48 20736 4d-openmp Scale 38.6685
48 20736 4d-openmp Add 54.9541
48 20736 4d-openmp Triad 56.9997
48 20736 4d-openmp-simd Set 19.4887
48 20736 4d-openmp-simd Copy 38.1615
48 20736 4d-openmp-simd Scale 34.4273
48 20736 4d-openmp-simd Add 51.0111
48 20736 4d-openmp-simd Triad 50.8859
48 32768 5d-mdrange Set 25.2499
48 32768 5d-mdrange Copy 50.8080
48 32768 5d-mdrange Scale 43.7271
48 32768 5d-mdrange Add 62.9498
48 32768 5d-mdrange Triad 63.4066
48 65536 range Set 57.2429
48 65536 range Copy 116.4438
48 65536 range Scale 113.0784
48 65536 range Add 167.2904
48 65536 range Triad 168.9980
48 65536 2d-mdrange Set 59.7684
48 65536 2d-mdrange Copy 113.7408
48 65536 2d-mdrange Scale 112.6532
48 65536 2d-mdrange Add 172.3309
48 65536 2d-mdrange Triad 173.3374
48 64000 3d-mdrange Set 53.1672
48 64000 3d-mdrange Copy 101.9108
48 64000 3d-mdrange Scale 94.6046
48 64000 3d-mdrange Add 138.9291
48 64000 3d-mdrange Triad 134.1368
48 65536 4d-mdrange Set 50.3494
48 65536 4d-mdrange Copy 99.2970
48 65536 4d-mdrange Scale 84.4876
48 65536 4d-mdrange Add 121.2881
48 65536 4d-mdrange Triad 117.1070
48 65536 4d-mdrange-tiling Set 56.6737
48 65536 4d-mdrange-tiling Copy 111.8123
48 65536 4d-mdrange-tiling Scale 111.3493
48 65536 4d-mdrange-tiling Add 157.0979
48 65536 4d-mdrange-tiling Triad 158.6988
48 65536 4d-openmp Set 57.9196
48 65536 4d-openmp Copy 115.2408
48 65536 4d-openmp Scale 117.1070
48 65536 4d-openmp Add 165.0608
48 65536 4d-openmp Triad 164.1992
48 65536 4d-openmp-simd Set 56.7166
48 65536 4d-openmp-simd Copy 113.5806
48 65536 4d-openmp-simd Scale 97.3970
48 65536 4d-openmp-simd Add 149.1715
48 65536 4d-openmp-simd Triad 151.8648
48 100000 5d-mdrange Set 65.2156
48 100000 5d-mdrange Copy 114.6132
48 100000 5d-mdrange Scale 101.8071
48 100000 5d-mdrange Add 130.1518
48 100000 5d-mdrange Triad 125.5493
48 331776 range Set 282.8741
48 331776 range Copy 526.3153
48 331776 range Scale 494.0359
48 331776 range Add 784.5723
48 331776 range Triad 750.4122
48 331776 2d-mdrange Set 230.2601
48 331776 2d-mdrange Copy 440.9716
48 331776 2d-mdrange Scale 401.9091
48 331776 2d-mdrange Add 583.2570
48 331776 2d-mdrange Triad 576.0000
48 262144 3d-mdrange Set 166.8511
48 262144 3d-mdrange Copy 294.7094
48 262144 3d-mdrange Scale 269.4702
48 262144 3d-mdrange Add 376.5084
48 262144 3d-mdrange Triad 343.6076
48 331776 4d-mdrange Set 197.4123
48 331776 4d-mdrange Copy 289.9506
48 331776 4d-mdrange Scale 236.2972
48 331776 4d-mdrange Add 274.1762
48 331776 4d-mdrange Triad 297.4125
48 331776 4d-mdrange-tiling Set 233.6862
48 331776 4d-mdrange-tiling Copy 430.8779
48 331776 4d-mdrange-tiling Scale 390.9859
48 331776 4d-mdrange-tiling Add 439.0507
48 331776 4d-mdrange-tiling Triad 494.4808
48 331776 4d-openmp Set 212.4726
48 331776 4d-openmp Copy 430.8080
48 331776 4d-openmp Scale 400.9680
48 331776 4d-openmp Add 539.2905
48 331776 4d-openmp Triad 543.4125
48 331776 4d-openmp-simd Set 218.6873
48 331776 4d-openmp-simd Copy 396.4167
48 331776 4d-openmp-simd Scale 373.6216
48 331776 4d-openmp-simd Add 522.8250
48 331776 4d-openmp-simd Triad 534.9428
48 248832 5d-mdrange Set 144.1251
48 248832 5d-mdrange Copy 198.3318
48 248832 5d-mdrange Scale 151.6575
48 248832 5d-mdrange Add 228.8724
48 248832 5d-mdrange Triad 208.5913
48 1048576 range Set 650.0781
48 1048576 range Copy 1263.1543
48 1048576 range Scale 1221.9385
48 1048576 range Add 1793.8430
48 1048576 range Triad 1721.5641
48 1048576 2d-mdrange Set 378.9406
48 1048576 2d-mdrange Copy 681.3636
48 1048576 2d-mdrange Scale 521.1772
48 1048576 2d-mdrange Add 592.2206
48 1048576 2d-mdrange Triad 518.9900
48 2097152 3d-mdrange Set 242.8137
48 2097152 3d-mdrange Copy 279.7182
48 2097152 3d-mdrange Scale 248.0369
48 2097152 3d-mdrange Add 296.7073
48 2097152 3d-mdrange Triad 298.4225
48 1048576 4d-mdrange Set 273.1022
48 1048576 4d-mdrange Copy 235.5689
48 1048576 4d-mdrange Scale 221.2798
48 1048576 4d-mdrange Add 234.3863
48 1048576 4d-mdrange Triad 243.8596
48 1048576 4d-mdrange-tiling Set 470.4508
48 1048576 4d-mdrange-tiling Copy 702.3870
48 1048576 4d-mdrange-tiling Scale 554.7654
48 1048576 4d-mdrange-tiling Add 504.2746
48 1048576 4d-mdrange-tiling Triad 487.9840
48 1048576 4d-openmp Set 410.0605
48 1048576 4d-openmp Copy 779.0674
48 1048576 4d-openmp Scale 721.7559
48 1048576 4d-openmp Add 912.3672
48 1048576 4d-openmp Triad 892.2469
48 1048576 4d-openmp-simd Set 403.0078
48 1048576 4d-openmp-simd Copy 738.2713
48 1048576 4d-openmp-simd Scale 705.0435
48 1048576 4d-openmp-simd Add 945.0888
48 1048576 4d-openmp-simd Triad 929.3140
48 1048576 5d-mdrange Set 245.0445
48 1048576 5d-mdrange Copy 169.7309
48 1048576 5d-mdrange Scale 156.5433
48 1048576 5d-mdrange Add 188.4417
48 1048576 5d-mdrange Triad 168.9560
48 5308416 range Set 1536.6114
48 5308416 range Copy 1984.0837
48 5308416 range Scale 1262.4808
48 5308416 range Add 1508.0192
48 5308416 range Triad 1253.0439
48 5308416 2d-mdrange Set 441.5080
48 5308416 2d-mdrange Copy 618.0482
48 5308416 2d-mdrange Scale 491.6566
48 5308416 2d-mdrange Add 517.3727
48 5308416 2d-mdrange Triad 517.3306
48 5832000 3d-mdrange Set 416.5528
48 5832000 3d-mdrange Copy 403.6370
48 5832000 3d-mdrange Scale 384.8171
48 5832000 3d-mdrange Add 306.8612
48 5832000 3d-mdrange Triad 346.8994
48 5308416 4d-mdrange Set 212.3536
48 5308416 4d-mdrange Copy 198.8683
48 5308416 4d-mdrange Scale 196.4293
48 5308416 4d-mdrange Add 158.4460
48 5308416 4d-mdrange Triad 166.2365
48 5308416 4d-mdrange-tiling Set 512.1482
48 5308416 4d-mdrange-tiling Copy 648.1236
48 5308416 4d-mdrange-tiling Scale 462.4912
48 5308416 4d-mdrange-tiling Add 484.4900
48 5308416 4d-mdrange-tiling Triad 484.8809
48 5308416 4d-openmp Set 598.9243
48 5308416 4d-openmp Copy 1043.0517
48 5308416 4d-openmp Scale 1006.7284
48 5308416 4d-openmp Add 1160.3729
48 5308416 4d-openmp Triad 1066.8843
48 5308416 4d-openmp-simd Set 600.7119
48 5308416 4d-openmp-simd Copy 1033.7336
48 5308416 4d-openmp-simd Scale 1034.9681
48 5308416 4d-openmp-simd Add 1238.9453
48 5308416 4d-openmp-simd Triad 1138.3715
48 3200000 5d-mdrange Set 411.8669
48 3200000 5d-mdrange Copy 240.6920
48 3200000 5d-mdrange Scale 252.5178
48 3200000 5d-mdrange Add 293.5791
48 3200000 5d-mdrange Triad 221.3059
48 16777216 range Set 332.0774
48 16777216 range Copy 263.7264
48 16777216 range Scale 246.1525
48 16777216 range Add 246.7340
48 16777216 range Triad 276.6032
48 16777216 2d-mdrange Set 243.6216
48 16777216 2d-mdrange Copy 211.1726
48 16777216 2d-mdrange Scale 185.5902
48 16777216 2d-mdrange Add 203.9287
48 16777216 2d-mdrange Triad 200.1266
48 16777216 3d-mdrange Set 152.4761
48 16777216 3d-mdrange Copy 148.2370
48 16777216 3d-mdrange Scale 125.4262
48 16777216 3d-mdrange Add 147.4379
48 16777216 3d-mdrange Triad 140.2447
48 16777216 4d-mdrange Set 107.6194
48 16777216 4d-mdrange Copy 114.0156
48 16777216 4d-mdrange Scale 119.2280
48 16777216 4d-mdrange Add 128.9745
48 16777216 4d-mdrange Triad 122.3617
48 16777216 4d-mdrange-tiling Set 230.8642
48 16777216 4d-mdrange-tiling Copy 205.6660
48 16777216 4d-mdrange-tiling Scale 179.7125
48 16777216 4d-mdrange-tiling Add 196.5790
48 16777216 4d-mdrange-tiling Triad 189.2767
48 16777216 4d-openmp Set 368.0657
48 16777216 4d-openmp Copy 306.4689
48 16777216 4d-openmp Scale 259.3311
48 16777216 4d-openmp Add 221.8963
48 16777216 4d-openmp Triad 226.2379
48 16777216 4d-openmp-simd Set 359.9788
48 16777216 4d-openmp-simd Copy 311.4487
48 16777216 4d-openmp-simd Scale 258.9189
48 16777216 4d-openmp-simd Add 221.2282
48 16777216 4d-openmp-simd Triad 225.6576
48 17210368 5d-mdrange Set 141.2712
48 17210368 5d-mdrange Copy 97.2938
48 17210368 5d-mdrange Scale 102.3641
48 17210368 5d-mdrange Add 100.9184
48 17210368 5d-mdrange Triad 100.1501
48 40960000 range Set 180.1712
48 40960000 range Copy 201.7600
48 40960000 range Scale 192.5718
48 40960000 range Add 246.2449
48 40960000 range Triad 245.4208
48 40960000 2d-mdrange Set 170.4827
48 40960000 2d-mdrange Copy 179.2662
48 40960000 2d-mdrange Scale 177.8878
48 40960000 2d-mdrange Add 189.0494
48 40960000 2d-mdrange Triad 194.9013
48 46656000 3d-mdrange Set 132.3129
48 46656000 3d-mdrange Copy 137.9238
48 46656000 3d-mdrange Scale 141.7066
48 46656000 3d-mdrange Add 157.5308
48 46656000 3d-mdrange Triad 156.6174
48 40960000 4d-mdrange Set 108.2342
48 40960000 4d-mdrange Copy 96.5438
48 40960000 4d-mdrange Scale 111.6035
48 40960000 4d-mdrange Add 113.7518
48 40960000 4d-mdrange Triad 115.9881
48 40960000 4d-mdrange-tiling Set 166.7072
48 40960000 4d-mdrange-tiling Copy 172.3665
48 40960000 4d-mdrange-tiling Scale 157.8506
48 40960000 4d-mdrange-tiling Add 181.0180
48 40960000 4d-mdrange-tiling Triad 178.3805
48 40960000 4d-openmp Set 182.7972
48 40960000 4d-openmp Copy 192.7833
48 40960000 4d-openmp Scale 180.1640
48 40960000 4d-openmp Add 204.8905
48 40960000 4d-openmp Triad 197.1774
48 40960000 4d-openmp-simd Set 181.8624
48 40960000 4d-openmp-simd Copy 183.8833
48 40960000 4d-openmp-simd Scale 180.3548
48 40960000 4d-openmp-simd Add 205.6282
48 40960000 4d-openmp-simd Triad 198.0728
48 33554432 5d-mdrange Set 83.0167
48 33554432 5d-mdrange Copy 95.4879
48 33554432 5d-mdrange Scale 97.6456
48 33554432 5d-mdrange Add 99.9388
48 33554432 5d-mdrange Triad 106.0522
48 84934656 range Set 147.8078
48 84934656 range Copy 199.9425
48 84934656 range Scale 196.2568
48 84934656 range Add 236.5604
48 84934656 range Triad 234.3122
48 84934656 2d-mdrange Set 146.2356
48 84934656 2d-mdrange Copy 171.5665
48 84934656 2d-mdrange Scale 172.7737
48 84934656 2d-mdrange Add 192.6434
48 84934656 2d-mdrange Triad 183.8868
48 85184000 3d-mdrange Set 121.1406
48 85184000 3d-mdrange Copy 138.9381
48 85184000 3d-mdrange Scale 141.2484
48 85184000 3d-mdrange Add 155.4145
48 85184000 3d-mdrange Triad 154.7035
48 84934656 4d-mdrange Set 97.9333
48 84934656 4d-mdrange Copy 108.6213
48 84934656 4d-mdrange Scale 112.8477
48 84934656 4d-mdrange Add 117.2441
48 84934656 4d-mdrange Triad 116.8272
48 84934656 4d-mdrange-tiling Set 143.0124
48 84934656 4d-mdrange-tiling Copy 172.7341
48 84934656 4d-mdrange-tiling Scale 157.3257
48 84934656 4d-mdrange-tiling Add 180.8862
48 84934656 4d-mdrange-tiling Triad 175.6947
48 84934656 4d-openmp Set 147.4819
48 84934656 4d-openmp Copy 181.4586
48 84934656 4d-openmp Scale 171.0270
48 84934656 4d-openmp Add 194.6640
48 84934656 4d-openmp Triad 191.6013
48 84934656 4d-openmp-simd Set 146.8240
48 84934656 4d-openmp-simd Copy 172.1837
48 84934656 4d-openmp-simd Scale 170.5442
48 84934656 4d-openmp-simd Add 196.3066
48 84934656 4d-openmp-simd Triad 192.8294
48 102400000 5d-mdrange Set 95.3705
48 102400000 5d-mdrange Copy 97.0055
48 102400000 5d-mdrange Scale 101.6248
48 102400000 5d-mdrange Add 99.2056
48 102400000 5d-mdrange Triad 97.4673
48 157351936 range Set 137.3794
48 157351936 range Copy 184.1092
48 157351936 range Scale 179.5813
48 157351936 range Add 235.0419
48 157351936 range Triad 234.2995
48 157351936 2d-mdrange Set 137.6721
48 157351936 2d-mdrange Copy 174.8328
48 157351936 2d-mdrange Scale 176.5430
48 157351936 2d-mdrange Add 203.2004
48 157351936 2d-mdrange Triad 202.3909
48 157464000 3d-mdrange Set 101.8677
48 157464000 3d-mdrange Copy 129.1388
48 157464000 3d-mdrange Scale 129.6678
48 157464000 3d-mdrange Add 146.9932
48 157464000 3d-mdrange Triad 148.8677
48 157351936 4d-mdrange Set 96.8922
48 157351936 4d-mdrange Copy 114.7312
48 157351936 4d-mdrange Scale 119.4620
48 157351936 4d-mdrange Add 123.8478
48 157351936 4d-mdrange Triad 124.6364
48 157351936 4d-mdrange-tiling Set 135.5991
48 157351936 4d-mdrange-tiling Copy 174.6497
48 157351936 4d-mdrange-tiling Scale 156.8611
48 157351936 4d-mdrange-tiling Add 183.6588
48 157351936 4d-mdrange-tiling Triad 185.1511
48 157351936 4d-openmp Set 136.6483
48 157351936 4d-openmp Copy 177.7231
48 157351936 4d-openmp Scale 169.0453
48 157351936 4d-openmp Add 193.4644
48 157351936 4d-openmp Triad 191.7583
48 157351936 4d-openmp-simd Set 136.7403
48 157351936 4d-openmp-simd Copy 170.1723
48 157351936 4d-openmp-simd Scale 169.4069
48 157351936 4d-openmp-simd Add 194.6943
48 157351936 4d-openmp-simd Triad 192.7647
48 164916224 5d-mdrange Set 90.7599
48 164916224 5d-mdrange Copy 100.9861
48 164916224 5d-mdrange Scale 103.3784
48 164916224 5d-mdrange Add 101.9475
48 164916224 5d-mdrange Triad 105.3197
48 268435456 range Set 132.5082
48 268435456 range Copy 182.0278
48 268435456 range Scale 177.8438
48 268435456 range Add 233.5866
48 268435456 range Triad 232.7675
48 268435456 2d-mdrange Set 132.0958
48 268435456 2d-mdrange Copy 174.5202
48 268435456 2d-mdrange Scale 175.5557
