nt n policy kernel bw
32 256 range Set 0.2381
32 256 range Copy 0.4670
32 256 range Scale 0.4676
32 256 range Add 0.7006
32 256 range Triad 0.6857
32 256 2d-mdrange Set 0.2589
32 256 2d-mdrange Copy 0.4905
32 256 2d-mdrange Scale 0.4941
32 256 2d-mdrange Add 0.7288
32 256 2d-mdrange Triad 0.7271
32 512 3d-mdrange Set 0.4681
32 512 3d-mdrange Copy 0.9696
32 512 3d-mdrange Scale 0.9672
32 512 3d-mdrange Add 1.3459
32 512 3d-mdrange Triad 1.4124
32 256 4d-mdrange Set 0.2246
32 256 4d-mdrange Copy 0.4516
32 256 4d-mdrange Scale 0.4496
32 256 4d-mdrange Add 0.6664
32 256 4d-mdrange Triad 0.6872
32 1024 5d-mdrange Set 0.8507
32 1024 5d-mdrange Copy 1.6451
32 1024 5d-mdrange Scale 1.6533
32 1024 5d-mdrange Add 2.4381
32 1024 5d-mdrange Triad 2.4381
32 4096 range Set 3.8687
32 4096 range Copy 7.3471
32 4096 range Scale 7.3802
32 4096 range Add 10.8264
32 4096 range Triad 10.8743
32 4096 2d-mdrange Set 3.9010
32 4096 2d-mdrange Copy 7.3802
32 4096 2d-mdrange Scale 7.4813
32 4096 2d-mdrange Add 10.8264
32 4096 2d-mdrange Triad 11.1709
32 4096 3d-mdrange Set 3.7926
32 4096 3d-mdrange Copy 7.2899
32 4096 3d-mdrange Scale 7.2576
32 4096 3d-mdrange Add 11.3659
32 4096 3d-mdrange Triad 10.8743
32 4096 4d-mdrange Set 3.6984
32 4096 4d-mdrange Copy 7.3225
32 4096 4d-mdrange Scale 7.1390
32 4096 4d-mdrange Add 10.9348
32 4096 4d-mdrange Triad 10.6505
32 7776 5d-mdrange Set 6.9818
32 7776 5d-mdrange Copy 12.9344
32 7776 5d-mdrange Scale 12.8928
32 7776 5d-mdrange Add 19.8115
32 7776 5d-mdrange Triad 18.9851
32 20736 range Set 19.7017
32 20736 range Copy 39.1707
32 20736 range Scale 40.0696
32 20736 range Add 57.8679
32 20736 range Triad 56.4885
32 20736 2d-mdrange Set 19.7486
32 20736 2d-mdrange Copy 37.0699
32 20736 2d-mdrange Scale 37.9606
32 20736 2d-mdrange Add 54.5087
32 20736 2d-mdrange Triad 55.2960
32 32768 3d-mdrange Set 30.3407
32 32768 3d-mdrange Copy 57.0498
32 32768 3d-mdrange Scale 56.8642
32 32768 3d-mdrange Add 86.1371
32 32768 3d-mdrange Triad 83.1323
32 20736 4d-mdrange Set 19.1778
32 20736 4d-mdrange Copy 35.9454
32 20736 4d-mdrange Scale 36.7009
