nt n factor policy kernel bw
7 256 1 2d-mdrange Set 0.1901
7 256 1 2d-mdrange Copy 0.3518
7 256 1 2d-mdrange Scale 0.3506
7 256 1 2d-mdrange Add 0.5162
7 256 1 2d-mdrange Triad 0.4906
7 512 1 3d-mdrange Set 0.3561
7 512 1 3d-mdrange Copy 0.6588
7 512 1 3d-mdrange Scale 0.6567
7 512 1 3d-mdrange Add 0.9664
7 512 1 3d-mdrange Triad 0.9711
7 256 1 4d-mdrange Set 0.1446
7 256 1 4d-mdrange Copy 0.2674
7 256 1 4d-mdrange Scale 0.2675
7 256 1 4d-mdrange Add 0.3811
7 256 1 4d-mdrange Triad 0.3997
7 256 2 2d-mdrange Set 0.1910
7 256 2 2d-mdrange Copy 0.3401
7 256 2 2d-mdrange Scale 0.3509
7 256 2 2d-mdrange Add 0.5006
7 256 2 2d-mdrange Triad 0.4949
7 512 2 3d-mdrange Set 0.3583
7 512 2 3d-mdrange Copy 0.6494
7 512 2 3d-mdrange Scale 0.6338
7 512 2 3d-mdrange Add 0.9596
7 512 2 3d-mdrange Triad 0.9492
7 256 2 4d-mdrange Set 0.1485
7 256 2 4d-mdrange Copy 0.2738
7 256 2 4d-mdrange Scale 0.2733
7 256 2 4d-mdrange Add 0.3792
7 256 2 4d-mdrange Triad 0.3821
7 256 4 2d-mdrange Set 0.1879
7 256 4 2d-mdrange Copy 0.3464
7 256 4 2d-mdrange Scale 0.3518
7 256 4 2d-mdrange Add 0.4993
7 256 4 2d-mdrange Triad 0.5179
7 512 4 3d-mdrange Set 0.3577
7 512 4 3d-mdrange Copy 0.6836
7 512 4 3d-mdrange Scale 0.6830
7 512 4 3d-mdrange Add 0.9843
7 512 4 3d-mdrange Triad 0.9851
7 256 4 4d-mdrange Set 0.1481
7 256 4 4d-mdrange Copy 0.2722
7 256 4 4d-mdrange Scale 0.2729
7 256 4 4d-mdrange Add 0.3840
7 256 4 4d-mdrange Triad 0.3903
7 256 8 2d-mdrange Set 0.2315
7 256 8 2d-mdrange Copy 0.3713
7 256 8 2d-mdrange Scale 0.3654
7 256 8 2d-mdrange Add 0.5157
7 256 8 2d-mdrange Triad 0.5084
7 512 8 3d-mdrange Set 0.4967
7 512 8 3d-mdrange Copy 0.7061
7 512 8 3d-mdrange Scale 0.7043
7 512 8 3d-mdrange Add 1.0186
7 512 8 3d-mdrange Triad 1.0693
7 256 8 4d-mdrange Set 0.1538
7 256 8 4d-mdrange Copy 0.2897
7 256 8 4d-mdrange Scale 0.2933
7 256 8 4d-mdrange Add 0.4273
7 256 8 4d-mdrange Triad 0.4026
7 256 16 2d-mdrange Set 0.2466
7 256 16 2d-mdrange Copy 0.3744
7 256 16 2d-mdrange Scale 0.3693
7 256 16 2d-mdrange Add 0.5346
7 256 16 2d-mdrange Triad 0.5451
7 512 16 3d-mdrange Set 0.4850
7 512 16 3d-mdrange Copy 0.6929
7 512 16 3d-mdrange Scale 0.6952
7 512 16 3d-mdrange Add 0.9987
7 512 16 3d-mdrange Triad 1.0455
7 256 16 4d-mdrange Set 0.1532
7 256 16 4d-mdrange Copy 0.2954
7 256 16 4d-mdrange Scale 0.2969
7 256 16 4d-mdrange Add 0.4333
7 256 16 4d-mdrange Triad 0.4135
7 256 32 2d-mdrange Set 0.2445
7 256 32 2d-mdrange Copy 0.4453
7 256 32 2d-mdrange Scale 0.4420
7 256 32 2d-mdrange Add 0.6107
7 256 32 2d-mdrange Triad 0.6041
7 512 32 3d-mdrange Set 0.4832
7 512 32 3d-mdrange Copy 0.7019
7 512 32 3d-mdrange Scale 0.6982
7 512 32 3d-mdrange Add 1.0078
7 512 32 3d-mdrange Triad 1.0237
7 256 64 2d-mdrange Set 0.2422
7 256 64 2d-mdrange Copy 0.3764
7 256 64 2d-mdrange Scale 0.3761
7 256 64 2d-mdrange Add 0.5393
7 256 64 2d-mdrange Triad 0.5332
7 512 64 3d-mdrange Set 0.4873
7 512 64 3d-mdrange Copy 0.7030
7 512 64 3d-mdrange Scale 0.6865
7 512 64 3d-mdrange Add 0.9988
7 512 64 3d-mdrange Triad 1.0757
7 4096 1 2d-mdrange Set 3.8705
7 4096 1 2d-mdrange Copy 5.4414
7 4096 1 2d-mdrange Scale 5.2750
7 4096 1 2d-mdrange Add 7.8430
7 4096 1 2d-mdrange Triad 7.8486
7 4096 1 3d-mdrange Set 3.9309
7 4096 1 3d-mdrange Copy 5.3091
7 4096 1 3d-mdrange Scale 5.1140
7 4096 1 3d-mdrange Add 7.4614
7 4096 1 3d-mdrange Triad 7.6716
7 4096 1 4d-mdrange Set 2.8993
7 4096 1 4d-mdrange Copy 4.8380
7 4096 1 4d-mdrange Scale 4.8845
7 4096 1 4d-mdrange Add 6.9145
7 4096 1 4d-mdrange Triad 6.9287
7 4096 2 2d-mdrange Set 3.8610
7 4096 2 2d-mdrange Copy 5.2665
7 4096 2 2d-mdrange Scale 5.2707
7 4096 2 2d-mdrange Add 7.8174
7 4096 2 2d-mdrange Triad 7.8492
7 4096 2 3d-mdrange Set 3.9070
7 4096 2 3d-mdrange Copy 5.2580
7 4096 2 3d-mdrange Scale 5.1791
7 4096 2 3d-mdrange Add 7.5648
7 4096 2 3d-mdrange Triad 7.4779
7 4096 2 4d-mdrange Set 2.4101
7 4096 2 4d-mdrange Copy 4.6061
7 4096 2 4d-mdrange Scale 4.5549
7 4096 2 4d-mdrange Add 6.7475
7 4096 2 4d-mdrange Triad 6.4335
7 4096 4 2d-mdrange Set 3.8838
7 4096 4 2d-mdrange Copy 5.2963
7 4096 4 2d-mdrange Scale 5.2496
7 4096 4 2d-mdrange Add 7.8807
7 4096 4 2d-mdrange Triad 7.8555
7 4096 4 3d-mdrange Set 3.8889
7 4096 4 3d-mdrange Copy 5.1910
7 4096 4 3d-mdrange Scale 5.1502
7 4096 4 3d-mdrange Add 7.5526
7 4096 4 3d-mdrange Triad 7.5473
7 4096 4 4d-mdrange Set 3.0479
7 4096 4 4d-mdrange Copy 4.9592
7 4096 4 4d-mdrange Scale 4.9480
7 4096 4 4d-mdrange Add 7.0687
7 4096 4 4d-mdrange Triad 7.1302
7 4096 8 2d-mdrange Set 3.8747
7 4096 8 2d-mdrange Copy 5.2412
7 4096 8 2d-mdrange Scale 5.2534
7 4096 8 2d-mdrange Add 7.8305
7 4096 8 2d-mdrange Triad 7.7994
7 4096 8 3d-mdrange Set 3.8931
7 4096 8 3d-mdrange Copy 5.1583
7 4096 8 3d-mdrange Scale 5.1300
7 4096 8 3d-mdrange Add 7.4608
7 4096 8 3d-mdrange Triad 7.4214
7 4096 8 4d-mdrange Set 2.9652
7 4096 8 4d-mdrange Copy 4.8922
7 4096 8 4d-mdrange Scale 4.9331
7 4096 8 4d-mdrange Add 7.0993
7 4096 8 4d-mdrange Triad 7.0383
7 4096 16 2d-mdrange Set 3.9070
7 4096 16 2d-mdrange Copy 5.2492
7 4096 16 2d-mdrange Scale 5.2877
7 4096 16 2d-mdrange Add 7.5764
7 4096 16 2d-mdrange Triad 7.6353
7 4096 16 3d-mdrange Set 3.8797
7 4096 16 3d-mdrange Copy 5.1869
7 4096 16 3d-mdrange Scale 5.1140
7 4096 16 3d-mdrange Add 7.4501
7 4096 16 3d-mdrange Triad 7.5242
