nt n factor policy kernel bw
128 256 1 2d-mdrange Set 0.0611
128 256 1 2d-mdrange Copy 0.1225
128 256 1 2d-mdrange Scale 0.1246
128 256 1 2d-mdrange Add 0.1905
128 256 1 2d-mdrange Triad 0.1863
128 512 1 3d-mdrange Set 0.1247
128 512 1 3d-mdrange Copy 0.2541
128 512 1 3d-mdrange Scale 0.2481
128 512 1 3d-mdrange Add 0.3729
128 512 1 3d-mdrange Triad 0.3747
128 256 1 4d-mdrange Set 0.0622
128 256 1 4d-mdrange Copy 0.1252
128 256 1 4d-mdrange Scale 0.1236
128 256 1 4d-mdrange Add 0.1844
128 256 1 4d-mdrange Triad 0.1886
128 256 2 2d-mdrange Set 0.0634
128 256 2 2d-mdrange Copy 0.1255
128 256 2 2d-mdrange Scale 0.1275
128 256 2 2d-mdrange Add 0.1879
128 256 2 2d-mdrange Triad 0.1899
128 512 2 3d-mdrange Set 0.1226
128 512 2 3d-mdrange Copy 0.2467
128 512 2 3d-mdrange Scale 0.2453
128 512 2 3d-mdrange Add 0.3728
128 512 2 3d-mdrange Triad 0.3711
128 256 2 4d-mdrange Set 0.0632
128 256 2 4d-mdrange Copy 0.1257
128 256 2 4d-mdrange Scale 0.1285
128 256 2 4d-mdrange Add 0.1903
128 256 2 4d-mdrange Triad 0.1901
128 256 4 2d-mdrange Set 0.0624
128 256 4 2d-mdrange Copy 0.1255
128 256 4 2d-mdrange Scale 0.1287
128 256 4 2d-mdrange Add 0.1866
128 256 4 2d-mdrange Triad 0.1871
128 512 4 3d-mdrange Set 0.1256
128 512 4 3d-mdrange Copy 0.2519
128 512 4 3d-mdrange Scale 0.2549
128 512 4 3d-mdrange Add 0.3774
128 512 4 3d-mdrange Triad 0.3776
128 256 4 4d-mdrange Set 0.0625
128 256 4 4d-mdrange Copy 0.1272
128 256 4 4d-mdrange Scale 0.1250
128 256 4 4d-mdrange Add 0.1852
128 256 4 4d-mdrange Triad 0.1871
128 256 8 2d-mdrange Set 0.0618
128 256 8 2d-mdrange Copy 0.1253
128 256 8 2d-mdrange Scale 0.1241
128 256 8 2d-mdrange Add 0.1857
128 256 8 2d-mdrange Triad 0.1883
128 512 8 3d-mdrange Set 0.1257
128 512 8 3d-mdrange Copy 0.2485
128 512 8 3d-mdrange Scale 0.2491
128 512 8 3d-mdrange Add 0.3758
128 512 8 3d-mdrange Triad 0.3768
128 256 8 4d-mdrange Set 0.0629
128 256 8 4d-mdrange Copy 0.1261
128 256 8 4d-mdrange Scale 0.1282
128 256 8 4d-mdrange Add 0.1920
128 256 8 4d-mdrange Triad 0.1909
128 256 16 2d-mdrange Set 0.0624
128 256 16 2d-mdrange Copy 0.1263
128 256 16 2d-mdrange Scale 0.1282
128 256 16 2d-mdrange Add 0.1905
128 256 16 2d-mdrange Triad 0.1909
128 512 16 3d-mdrange Set 0.1261
128 512 16 3d-mdrange Copy 0.2515
128 512 16 3d-mdrange Scale 0.2512
128 512 16 3d-mdrange Add 0.3742
128 512 16 3d-mdrange Triad 0.3725
128 256 16 4d-mdrange Set 0.0615
128 256 16 4d-mdrange Copy 0.1247
128 256 16 4d-mdrange Scale 0.1256
128 256 16 4d-mdrange Add 0.1889
128 256 16 4d-mdrange Triad 0.1882
128 256 32 2d-mdrange Set 0.0616
128 256 32 2d-mdrange Copy 0.1243
128 256 32 2d-mdrange Scale 0.1232
128 256 32 2d-mdrange Add 0.1831
128 256 32 2d-mdrange Triad 0.1841
128 512 32 3d-mdrange Set 0.1227
128 512 32 3d-mdrange Copy 0.2529
128 512 32 3d-mdrange Scale 0.2488
128 512 32 3d-mdrange Add 0.3759
128 512 32 3d-mdrange Triad 0.3759
128 256 32 4d-mdrange Set 0.0637
128 256 32 4d-mdrange Copy 0.1257
128 256 32 4d-mdrange Scale 0.1272
128 256 32 4d-mdrange Add 0.1878
128 256 32 4d-mdrange Triad 0.1871
128 256 64 2d-mdrange Set 0.0634
128 256 64 2d-mdrange Copy 0.1246
128 256 64 2d-mdrange Scale 0.1286
128 256 64 2d-mdrange Add 0.1902
128 256 64 2d-mdrange Triad 0.1874
128 512 64 3d-mdrange Set 0.1247
128 512 64 3d-mdrange Copy 0.2494
128 512 64 3d-mdrange Scale 0.2522
128 512 64 3d-mdrange Add 0.3774
128 512 64 3d-mdrange Triad 0.3793
128 256 64 4d-mdrange Set 0.0628
128 256 64 4d-mdrange Copy 0.1253
128 256 64 4d-mdrange Scale 0.1245
128 256 64 4d-mdrange Add 0.1828
128 256 64 4d-mdrange Triad 0.1823
128 4096 1 2d-mdrange Set 0.9867
128 4096 1 2d-mdrange Copy 1.9896
128 4096 1 2d-mdrange Scale 1.9932
128 4096 1 2d-mdrange Add 2.8879
128 4096 1 2d-mdrange Triad 2.9476
128 4096 1 3d-mdrange Set 0.9473
128 4096 1 3d-mdrange Copy 1.9674
128 4096 1 3d-mdrange Scale 1.9657
128 4096 1 3d-mdrange Add 2.9204
128 4096 1 3d-mdrange Triad 2.9825
128 4096 1 4d-mdrange Set 0.9649
128 4096 1 4d-mdrange Copy 1.9781
128 4096 1 4d-mdrange Scale 1.9999
128 4096 1 4d-mdrange Add 2.9179
128 4096 1 4d-mdrange Triad 2.8981
128 4096 2 2d-mdrange Set 1.0036
128 4096 2 2d-mdrange Copy 2.0140
128 4096 2 2d-mdrange Scale 2.0066
128 4096 2 2d-mdrange Add 2.9842
