nt n factor policy kernel bw
96 256 1 2d-mdrange Set 0.6214
96 256 1 2d-mdrange Copy 1.2397
96 256 1 2d-mdrange Scale 1.2169
96 256 1 2d-mdrange Add 1.7420
96 256 1 2d-mdrange Triad 1.7866
96 512 1 3d-mdrange Set 1.1804
96 512 1 3d-mdrange Copy 2.2183
96 512 1 3d-mdrange Scale 2.1141
96 512 1 3d-mdrange Add 3.2311
96 512 1 3d-mdrange Triad 3.2586
96 256 1 4d-mdrange Set 0.5810
96 256 1 4d-mdrange Copy 1.1278
96 256 1 4d-mdrange Scale 1.1109
96 256 1 4d-mdrange Add 1.6623
96 256 1 4d-mdrange Triad 1.6958
96 256 2 2d-mdrange Set 0.5787
96 256 2 2d-mdrange Copy 1.3170
96 256 2 2d-mdrange Scale 1.2015
96 256 2 2d-mdrange Add 1.7907
96 256 2 2d-mdrange Triad 1.7913
96 512 2 3d-mdrange Set 1.1127
96 512 2 3d-mdrange Copy 2.3540
96 512 2 3d-mdrange Scale 2.0951
96 512 2 3d-mdrange Add 3.1339
96 512 2 3d-mdrange Triad 3.0929
96 256 2 4d-mdrange Set 0.6074
96 256 2 4d-mdrange Copy 1.2465
96 256 2 4d-mdrange Scale 1.2431
96 256 2 4d-mdrange Add 1.7732
96 256 2 4d-mdrange Triad 1.7385
96 256 4 2d-mdrange Set 0.5833
96 256 4 2d-mdrange Copy 1.2492
96 256 4 2d-mdrange Scale 1.1716
96 256 4 2d-mdrange Add 1.7312
96 256 4 2d-mdrange Triad 1.7620
96 512 4 3d-mdrange Set 1.1356
96 512 4 3d-mdrange Copy 2.0614
96 512 4 3d-mdrange Scale 2.1479
96 512 4 3d-mdrange Add 2.9057
96 512 4 3d-mdrange Triad 2.5935
96 256 4 4d-mdrange Set 0.5670
96 256 4 4d-mdrange Copy 1.0999
96 256 4 4d-mdrange Scale 1.0717
96 256 4 4d-mdrange Add 1.5148
96 256 4 4d-mdrange Triad 1.4681
96 256 8 2d-mdrange Set 0.4802
96 256 8 2d-mdrange Copy 0.9949
96 256 8 2d-mdrange Scale 0.9296
96 256 8 2d-mdrange Add 1.4232
96 256 8 2d-mdrange Triad 1.3938
96 512 8 3d-mdrange Set 0.8137
96 512 8 3d-mdrange Copy 1.5818
96 512 8 3d-mdrange Scale 1.6437
96 512 8 3d-mdrange Add 1.9858
96 512 8 3d-mdrange Triad 2.0128
96 256 8 4d-mdrange Set 0.5629
96 256 8 4d-mdrange Copy 1.1029
96 256 8 4d-mdrange Scale 1.0816
96 256 8 4d-mdrange Add 1.4826
96 256 8 4d-mdrange Triad 1.4463
96 256 16 2d-mdrange Set 0.4303
96 256 16 2d-mdrange Copy 0.9141
96 256 16 2d-mdrange Scale 0.8548
96 256 16 2d-mdrange Add 1.2921
96 256 16 2d-mdrange Triad 1.2992
96 512 16 3d-mdrange Set 0.8605
96 512 16 3d-mdrange Copy 1.6299
96 512 16 3d-mdrange Scale 1.6811
96 512 16 3d-mdrange Add 2.0604
96 512 16 3d-mdrange Triad 2.0321
96 256 16 4d-mdrange Set 0.5717
96 256 16 4d-mdrange Copy 1.1356
96 256 16 4d-mdrange Scale 1.0931
96 256 16 4d-mdrange Add 1.4453
96 256 16 4d-mdrange Triad 1.4508
96 256 32 2d-mdrange Set 0.4421
96 256 32 2d-mdrange Copy 0.9213
96 256 32 2d-mdrange Scale 0.8514
96 256 32 2d-mdrange Add 1.3279
96 256 32 2d-mdrange Triad 1.3204
96 512 32 3d-mdrange Set 0.8542
96 512 32 3d-mdrange Copy 1.6322
96 512 32 3d-mdrange Scale 1.7606
96 512 32 3d-mdrange Add 2.0177
96 512 32 3d-mdrange Triad 2.0548
96 256 32 4d-mdrange Set 0.5761
96 256 32 4d-mdrange Copy 1.1284
96 256 32 4d-mdrange Scale 1.1188
96 256 32 4d-mdrange Add 1.4805
96 256 32 4d-mdrange Triad 1.4302
96 256 64 2d-mdrange Set 0.4729
96 256 64 2d-mdrange Copy 0.9769
96 256 64 2d-mdrange Scale 0.9604
96 256 64 2d-mdrange Add 1.3733
96 256 64 2d-mdrange Triad 1.4239
96 512 64 3d-mdrange Set 0.8965
96 512 64 3d-mdrange Copy 1.7092
96 512 64 3d-mdrange Scale 1.7824
96 512 64 3d-mdrange Add 2.1456
96 512 64 3d-mdrange Triad 2.0820
96 256 64 4d-mdrange Set 0.5526
96 256 64 4d-mdrange Copy 1.0969
96 256 64 4d-mdrange Scale 1.0703
96 256 64 4d-mdrange Add 1.4744
96 256 64 4d-mdrange Triad 1.3957
96 4096 1 2d-mdrange Set 9.2045
96 4096 1 2d-mdrange Copy 20.2459
96 4096 1 2d-mdrange Scale 17.7845
96 4096 1 2d-mdrange Add 28.6183
96 4096 1 2d-mdrange Triad 28.1835
96 4096 1 3d-mdrange Set 9.1916
96 4096 1 3d-mdrange Copy 18.1189
96 4096 1 3d-mdrange Scale 18.6553
96 4096 1 3d-mdrange Add 26.2845
96 4096 1 3d-mdrange Triad 27.0140
96 4096 1 4d-mdrange Set 9.6150
