nt n factor policy kernel bw
96 256 1 2d-mdrange Set 0.0621
96 256 1 2d-mdrange Copy 0.1250
96 256 1 2d-mdrange Scale 0.1229
96 256 1 2d-mdrange Add 0.1867
96 256 1 2d-mdrange Triad 0.1889
96 512 1 3d-mdrange Set 0.1430
96 512 1 3d-mdrange Copy 0.2832
96 512 1 3d-mdrange Scale 0.2831
96 512 1 3d-mdrange Add 0.4185
96 512 1 3d-mdrange Triad 0.4289
96 256 1 4d-mdrange Set 0.0774
96 256 1 4d-mdrange Copy 0.1559
96 256 1 4d-mdrange Scale 0.1584
96 256 1 4d-mdrange Add 0.2292
96 256 1 4d-mdrange Triad 0.2326
96 256 2 2d-mdrange Set 0.0883
96 256 2 2d-mdrange Copy 0.1743
96 256 2 2d-mdrange Scale 0.1765
96 256 2 2d-mdrange Add 0.2683
96 256 2 2d-mdrange Triad 0.2628
96 512 2 3d-mdrange Set 0.1820
96 512 2 3d-mdrange Copy 0.3559
96 512 2 3d-mdrange Scale 0.3643
96 512 2 3d-mdrange Add 0.5473
96 512 2 3d-mdrange Triad 0.5225
96 256 2 4d-mdrange Set 0.0893
96 256 2 4d-mdrange Copy 0.1765
96 256 2 4d-mdrange Scale 0.1760
96 256 2 4d-mdrange Add 0.2635
96 256 2 4d-mdrange Triad 0.2658
96 256 4 2d-mdrange Set 0.0872
96 256 4 2d-mdrange Copy 0.1757
96 256 4 2d-mdrange Scale 0.1733
96 256 4 2d-mdrange Add 0.2626
96 256 4 2d-mdrange Triad 0.2565
96 512 4 3d-mdrange Set 0.1733
96 512 4 3d-mdrange Copy 0.3545
96 512 4 3d-mdrange Scale 0.3441
96 512 4 3d-mdrange Add 0.4986
96 512 4 3d-mdrange Triad 0.5250
96 256 4 4d-mdrange Set 0.0862
96 256 4 4d-mdrange Copy 0.1787
96 256 4 4d-mdrange Scale 0.1746
96 256 4 4d-mdrange Add 0.2570
96 256 4 4d-mdrange Triad 0.2557
96 256 8 2d-mdrange Set 0.0901
96 256 8 2d-mdrange Copy 0.1804
96 256 8 2d-mdrange Scale 0.1786
96 256 8 2d-mdrange Add 0.2739
96 256 8 2d-mdrange Triad 0.2704
96 512 8 3d-mdrange Set 0.1664
96 512 8 3d-mdrange Copy 0.3300
96 512 8 3d-mdrange Scale 0.3288
96 512 8 3d-mdrange Add 0.5106
96 512 8 3d-mdrange Triad 0.4914
96 256 8 4d-mdrange Set 0.0856
96 256 8 4d-mdrange Copy 0.1753
96 256 8 4d-mdrange Scale 0.1776
96 256 8 4d-mdrange Add 0.2636
96 256 8 4d-mdrange Triad 0.2634
96 256 16 2d-mdrange Set 0.0843
96 256 16 2d-mdrange Copy 0.1672
96 256 16 2d-mdrange Scale 0.1689
96 256 16 2d-mdrange Add 0.2523
96 256 16 2d-mdrange Triad 0.2504
96 512 16 3d-mdrange Set 0.1771
96 512 16 3d-mdrange Copy 0.3524
96 512 16 3d-mdrange Scale 0.3548
96 512 16 3d-mdrange Add 0.5427
96 512 16 3d-mdrange Triad 0.5365
96 256 16 4d-mdrange Set 0.0914
96 256 16 4d-mdrange Copy 0.1810
96 256 16 4d-mdrange Scale 0.1819
96 256 16 4d-mdrange Add 0.2706
96 256 16 4d-mdrange Triad 0.2724
96 256 32 2d-mdrange Set 0.0871
96 256 32 2d-mdrange Copy 0.1725
96 256 32 2d-mdrange Scale 0.1731
96 256 32 2d-mdrange Add 0.2656
96 256 32 2d-mdrange Triad 0.2629
96 512 32 3d-mdrange Set 0.1750
96 512 32 3d-mdrange Copy 0.3493
96 512 32 3d-mdrange Scale 0.3582
96 512 32 3d-mdrange Add 0.5152
96 512 32 3d-mdrange Triad 0.5231
96 256 32 4d-mdrange Set 0.0887
96 256 32 4d-mdrange Copy 0.1795
96 256 32 4d-mdrange Scale 0.1768
96 256 32 4d-mdrange Add 0.2631
96 256 32 4d-mdrange Triad 0.2624
96 256 64 2d-mdrange Set 0.0892
96 256 64 2d-mdrange Copy 0.1767
96 256 64 2d-mdrange Scale 0.1764
96 256 64 2d-mdrange Add 0.2670
96 256 64 2d-mdrange Triad 0.2650
96 512 64 3d-mdrange Set 0.1716
96 512 64 3d-mdrange Copy 0.3482
96 512 64 3d-mdrange Scale 0.3380
96 512 64 3d-mdrange Add 0.5295
96 512 64 3d-mdrange Triad 0.5224
96 256 64 4d-mdrange Set 0.0888
96 256 64 4d-mdrange Copy 0.1776
96 256 64 4d-mdrange Scale 0.1787
96 256 64 4d-mdrange Add 0.2514
96 256 64 4d-mdrange Triad 0.2534
96 4096 1 2d-mdrange Set 1.4300
96 4096 1 2d-mdrange Copy 2.9240
96 4096 1 2d-mdrange Scale 2.8805
96 4096 1 2d-mdrange Add 4.2619
96 4096 1 2d-mdrange Triad 4.3609
96 4096 1 3d-mdrange Set 1.4006
96 4096 1 3d-mdrange Copy 2.9184
96 4096 1 3d-mdrange Scale 2.7522
96 4096 1 3d-mdrange Add 4.1872
96 4096 1 3d-mdrange Triad 4.1478
96 4096 1 4d-mdrange Set 1.3676
96 4096 1 4d-mdrange Copy 2.7533
96 4096 1 4d-mdrange Scale 2.7032
96 4096 1 4d-mdrange Add 4.0773
96 4096 1 4d-mdrange Triad 4.1598
96 4096 2 2d-mdrange Set 1.4320
96 4096 2 2d-mdrange Copy 2.8508
96 4096 2 2d-mdrange Scale 2.8267
96 4096 2 2d-mdrange Add 4.3468
96 4096 2 2d-mdrange Triad 4.3858
96 4096 2 3d-mdrange Set 1.4400
96 4096 2 3d-mdrange Copy 2.8407
96 4096 2 3d-mdrange Scale 2.8405
96 4096 2 3d-mdrange Add 4.2398
96 4096 2 3d-mdrange Triad 4.3150
96 4096 2 4d-mdrange Set 1.4469
96 4096 2 4d-mdrange Copy 2.8274
96 4096 2 4d-mdrange Scale 2.8160
96 4096 2 4d-mdrange Add 4.2043
96 4096 2 4d-mdrange Triad 4.2109
96 4096 4 2d-mdrange Set 1.4041
96 4096 4 2d-mdrange Copy 2.8058
96 4096 4 2d-mdrange Scale 2.8769
96 4096 4 2d-mdrange Add 4.3486
96 4096 4 2d-mdrange Triad 4.3673
96 4096 4 3d-mdrange Set 1.4159
96 4096 4 3d-mdrange Copy 2.8801
96 4096 4 3d-mdrange Scale 2.7340
96 4096 4 3d-mdrange Add 4.1464
96 4096 4 3d-mdrange Triad 4.2519
96 4096 4 4d-mdrange Set 1.3790
96 4096 4 4d-mdrange Copy 2.7847
96 4096 4 4d-mdrange Scale 2.6503
96 4096 4 4d-mdrange Add 4.0933
96 4096 4 4d-mdrange Triad 4.1178
96 4096 8 2d-mdrange Set 1.4445
96 4096 8 2d-mdrange Copy 2.8398
96 4096 8 2d-mdrange Scale 2.8683
96 4096 8 2d-mdrange Add 4.3296
96 4096 8 2d-mdrange Triad 4.4081
96 4096 8 3d-mdrange Set 1.4006
96 4096 8 3d-mdrange Copy 2.7372
96 4096 8 3d-mdrange Scale 2.7026
96 4096 8 3d-mdrange Add 4.1814
96 4096 8 3d-mdrange Triad 4.1138
