nt n factor policy kernel bw
32 256 1 2d-mdrange Set 0.1964
32 256 1 2d-mdrange Copy 0.3618
32 256 1 2d-mdrange Scale 0.3647
32 256 1 2d-mdrange Add 0.5423
32 256 1 2d-mdrange Triad 0.5530
32 512 1 3d-mdrange Set 0.3584
32 512 1 3d-mdrange Copy 0.7080
32 512 1 3d-mdrange Scale 0.7105
32 512 1 3d-mdrange Add 1.0309
32 512 1 3d-mdrange Triad 1.0567
32 256 1 4d-mdrange Set 0.1804
32 256 1 4d-mdrange Copy 0.3445
32 256 1 4d-mdrange Scale 0.3399
32 256 1 4d-mdrange Add 0.5154
32 256 1 4d-mdrange Triad 0.4983
32 256 2 2d-mdrange Set 0.1862
32 256 2 2d-mdrange Copy 0.3615
32 256 2 2d-mdrange Scale 0.3587
32 256 2 2d-mdrange Add 0.5297
32 256 2 2d-mdrange Triad 0.5278
32 512 2 3d-mdrange Set 0.3580
32 512 2 3d-mdrange Copy 0.7080
32 512 2 3d-mdrange Scale 0.6901
32 512 2 3d-mdrange Add 1.0396
32 512 2 3d-mdrange Triad 1.0352
32 256 2 4d-mdrange Set 0.1731
32 256 2 4d-mdrange Copy 0.3405
32 256 2 4d-mdrange Scale 0.3341
32 256 2 4d-mdrange Add 0.5020
32 256 2 4d-mdrange Triad 0.5065
32 256 4 2d-mdrange Set 0.1875
32 256 4 2d-mdrange Copy 0.3562
32 256 4 2d-mdrange Scale 0.3577
32 256 4 2d-mdrange Add 0.5314
32 256 4 2d-mdrange Triad 0.5283
32 512 4 3d-mdrange Set 0.3584
32 512 4 3d-mdrange Copy 0.7032
32 512 4 3d-mdrange Scale 0.7014
32 512 4 3d-mdrange Add 1.0511
32 512 4 3d-mdrange Triad 1.0248
32 256 4 4d-mdrange Set 0.1743
32 256 4 4d-mdrange Copy 0.3391
32 256 4 4d-mdrange Scale 0.3344
32 256 4 4d-mdrange Add 0.5020
32 256 4 4d-mdrange Triad 0.4971
32 256 8 2d-mdrange Set 0.1884
32 256 8 2d-mdrange Copy 0.3568
32 256 8 2d-mdrange Scale 0.3574
32 256 8 2d-mdrange Add 0.5287
32 256 8 2d-mdrange Triad 0.5278
32 512 8 3d-mdrange Set 0.3686
32 512 8 3d-mdrange Copy 0.7105
32 512 8 3d-mdrange Scale 0.7099
32 512 8 3d-mdrange Add 1.0291
32 512 8 3d-mdrange Triad 1.0266
32 256 8 4d-mdrange Set 0.1806
32 256 8 4d-mdrange Copy 0.3546
32 256 8 4d-mdrange Scale 0.3612
32 256 8 4d-mdrange Add 0.5256
32 256 8 4d-mdrange Triad 0.5347
32 256 16 2d-mdrange Set 0.1870
32 256 16 2d-mdrange Copy 0.3584
32 256 16 2d-mdrange Scale 0.3571
32 256 16 2d-mdrange Add 0.5301
32 256 16 2d-mdrange Triad 0.5361
32 512 16 3d-mdrange Set 0.3599
32 512 16 3d-mdrange Copy 0.7205
32 512 16 3d-mdrange Scale 0.7205
32 512 16 3d-mdrange Add 1.0723
32 512 16 3d-mdrange Triad 1.0647
32 256 16 4d-mdrange Set 0.1704
32 256 16 4d-mdrange Copy 0.3341
32 256 16 4d-mdrange Scale 0.3349
32 256 16 4d-mdrange Add 0.4915
32 256 16 4d-mdrange Triad 0.4983
32 256 32 2d-mdrange Set 0.1843
32 256 32 2d-mdrange Copy 0.3568
32 256 32 2d-mdrange Scale 0.3549
32 256 32 2d-mdrange Add 0.5319
32 256 32 2d-mdrange Triad 0.5265
32 512 32 3d-mdrange Set 0.3717
32 512 32 3d-mdrange Copy 0.7288
32 512 32 3d-mdrange Scale 0.7186
32 512 32 3d-mdrange Add 1.0548
32 512 32 3d-mdrange Triad 1.0593
